campaign_id,source_path,runner_path,geometry_sha256,source_minimum,perturbation_family,phi_degrees,psi_degrees,nearest_minimum_rmsd_angstrom,selection_method,selected_for_qm
TSLRSH-GPU-025,analysis/mettl7-phase2/execution-unit-05D/full-molecule-dft/TSL_RSH/point-012.xyz,geometry/TSLRSH-GPU-025.xyz,45a31038c11144b3692aae8fd02cbbc08cb06b0227e70890b9d9813fe4615ea8,MIN02,OTHER_EXISTING_GEOMETRY,-179.99639512761993,-65.5411279823343,0.4382188887035007,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-026,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-014.xyz,geometry/TSLRSH-GPU-026.xyz,07aecd8219eb9a62c89daf17b69cb1c888d583499dc2720c4c7c206009c3913d,MIN02,FORCE_CLOUD_PERTURBATION,-48.98326792707379,-70.47843211738216,0.0848719648614233,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-027,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-013.xyz,geometry/TSLRSH-GPU-027.xyz,66b80b07dacfc44d1fcb1f303f20562427529e586df689e7026be144981a2d1a,MIN02,FORCE_CLOUD_PERTURBATION,-51.836373746408384,-64.40102479670972,0.06778214905252401,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-028,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-012.xyz,geometry/TSLRSH-GPU-028.xyz,4d6d2620f297636f0b22ef0a3ca7e3a43737adbc03a4b9c9b65ebed8bbd979c8,MIN02,FORCE_CLOUD_PERTURBATION,-54.528007543310586,-67.0213325380546,0.05274250330269894,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-029,analysis/mettl7-phase2/execution-unit-05H/points/phi300_psi-060/trajectory-002.xyz,geometry/TSLRSH-GPU-029.xyz,df18f502db391fdcd9aedcf20e5eeae94232bd641f7897326d3a647e976e683c,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,-60.000680626740525,-60.005812707861274,0.2903881695957036,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-030,analysis/mettl7-phase2/execution-unit-05F/dft-2d/phi300_psi-060.xyz,geometry/TSLRSH-GPU-030.xyz,7b6e5e1c82ebe92523d563b4969c548108930c89d7d2bb76115c7e19dd85daca,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,-59.9999265860556,-60.00965516254692,0.35479022701739976,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-031,analysis/mettl7-phase2/execution-unit-05M/points/M-D02/trajectory-004.xyz,geometry/TSLRSH-GPU-031.xyz,97e0732c3a5f73a98d525a14d497da4268d308a443c1c056c4041bfe3f6ce926,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,-60.848529070264625,-19.663076420015347,0.3616136359202427,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-032,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-011.xyz,geometry/TSLRSH-GPU-032.xyz,f55362fd507f2e4f3742dd9323c88d9b60805c5d75b6e268ec910048588dee55,MIN02,FORCE_CLOUD_PERTURBATION,-53.941135684582186,-68.38967616552519,0.03904608860697959,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-033,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-010.xyz,geometry/TSLRSH-GPU-033.xyz,c45c50d6d5504db3e2610cec78acdef8749101abceb969174d11744ed3ed313f,MIN02,FORCE_CLOUD_PERTURBATION,-52.704767883417276,-67.49195611809807,0.035232363114036096,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-034,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-032.xyz,geometry/TSLRSH-GPU-034.xyz,362bd994a06558289d357b411fe817ea2a4a370210860e270abbf2c158be815b,MIN02,FORCE_CLOUD_PERTURBATION,-54.331924871805576,-67.9953261947648,0.06193631728024038,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-035,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-063.xyz,geometry/TSLRSH-GPU-035.xyz,7f1a3d06ed29e378216008b2b91b05028a4dcac2ad48ac5df46c5c39f4ef364f,MIN02,FORCE_CLOUD_PERTURBATION,-44.50699265666234,-63.25765525325992,0.05396009943540382,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-036,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-055.xyz,geometry/TSLRSH-GPU-036.xyz,68e4f5f77ca63bac048311124b8a479c446bf916a31b32d19f78fe599ec12941,MIN02,FORCE_CLOUD_PERTURBATION,-65.90042473424792,-78.2068055577261,0.10122830413452341,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-037,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-064.xyz,geometry/TSLRSH-GPU-037.xyz,84b660e903fc274c39e2a8075c538609beb9c2ca094e2453fcf5de9734924887,MIN02,FORCE_CLOUD_PERTURBATION,-41.9930890222706,-62.91276798371833,0.09486385175045244,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-038,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-054.xyz,geometry/TSLRSH-GPU-038.xyz,37b638d43acaea53656d16c81c1ce93c51648682ed65733e3bc1de30cddbc589,MIN02,FORCE_CLOUD_PERTURBATION,-41.227732075550705,-78.42106686676294,0.08708601843765344,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-039,analysis/mettl7-phase2/execution-unit-05D/full-molecule-dft/TSL_RSH/point-016.xyz,geometry/TSLRSH-GPU-039.xyz,daf3f9a6d4a29ce3aa58bbab65273460fc94d075447f26239699c8557f6ae608,MIN02,OTHER_EXISTING_GEOMETRY,-120.00004891225448,-65.1550499098291,0.3243554258183364,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-040,analysis/mettl7-phase2/execution-unit-05M/points/M-D02/trajectory-002.xyz,geometry/TSLRSH-GPU-040.xyz,2780e505b546b370668427dd3c9e154ead5ddd1e375ae5e5027675b4f51546af,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,-60.11400296405345,-41.64117590131711,0.168062957434168,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-041,analysis/mettl7-phase2/execution-unit-05H/points/phi300_psi+060/starting_geometry.xyz,geometry/TSLRSH-GPU-041.xyz,9bec879217a16f5146c7826d36457d054577e7303e341d347e5c51f3fa430c07,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,-59.99881620499608,60.00814039774015,0.8575124561588907,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-042,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-016.xyz,geometry/TSLRSH-GPU-042.xyz,a014760728e7aa3ee9f1af7577b3747a21a60d6df273efd99e7d266324da0cbf,MIN04,FORCE_CLOUD_PERTURBATION,64.94690562310518,169.0060082574283,0.11260655986692523,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-043,analysis/mettl7-phase2/execution-unit-05M/points/M-V01/trajectory-010.xyz,geometry/TSLRSH-GPU-043.xyz,cbac103875c0a9bf266b10d23447042ba6c684b5183846bb146389e42f841bc3,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,179.45845531974544,56.08615234201631,0.6877010675897726,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-044,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-015.xyz,geometry/TSLRSH-GPU-044.xyz,ffcdc5b20530be3c33c23c842ecb6c97e668c86aab0db948581a63f4e4de1d17,MIN04,FORCE_CLOUD_PERTURBATION,51.195800985883466,163.00713428428534,0.09960889663761868,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-045,analysis/mettl7-phase2/execution-unit-05D/full-molecule-dft/TSL_RSH/point-000.xyz,geometry/TSLRSH-GPU-045.xyz,db810234cfe572c68795bb6b5bb9f82aaf23660eae39a94ab47de138e7a1a2c7,MIN04,OTHER_EXISTING_GEOMETRY,5.492468058796711e-05,172.6746384651183,0.2673226271628838,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-046,analysis/mettl7-phase2/execution-unit-05O/qm-native-minima/MIN03/trajectory-007.xyz,geometry/TSLRSH-GPU-046.xyz,be219a31eb846166df0e03b07d33eeefa034660cbf11498c4aaa3c8ae6caf671,MIN04,MINIMUM_OPTIMIZATION_TRAJECTORY,61.56876317050588,155.6493339811842,0.305746327329105,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-047,analysis/mettl7-phase2/execution-unit-05H/points/phi060_psi+060/trajectory-004.xyz,geometry/TSLRSH-GPU-047.xyz,df99353079c126f5fe43b1b689974ff5949d51aa4ba3f15320e46f6a3e8a0b18,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,60.75160525991351,61.20341572158945,0.715423195230377,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-048,analysis/mettl7-phase2/execution-unit-05F/dft-2d/phi180_psi+180.xyz,geometry/TSLRSH-GPU-048.xyz,9c512b1e188c844aac7162ffc6e120d77913ae71fe8a620ef111867b621c7a1b,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,-179.9995816651388,179.99986071510065,0.6412150515009625,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
