campaign_id,source_minimum,family,geometry_sha256,result_sha256,total_energy_hartree,electronic_energy_hartree,d3_energy_hartree,global_force_rms_kcal_mol_a,sulfur_local_force_rms_kcal_mol_a,sulfur_atom_force_norm_kcal_mol_a,sulfur_force_projection_sc_kcal_mol_a,sulfur_force_projection_sh_kcal_mol_a,d3_global_gradient_rms_kcal_mol_a,d3_local_gradient_rms_kcal_mol_a,sc_distance_a,sh_distance_a,c_s_h_angle_deg,phi_deg,psi_deg,scf_cycles,runtime_seconds
TSLRSH-GPU-011,MIN01,FORCE_CLOUD_PERTURBATION,673742209761c952e977a3330ec28485beff068734ac5d8f264edef2fae0937a,28083ee02bb8a721a3a34ca22e6f5e289cc16db953e7e7e5117a33e59d510473,-1477.8038573348088,-1477.7175449843758,-0.08631235043304815,40.20082984741211,46.46915499245203,26.272258914213587,-22.447970552209554,13.88881935818062,0.3275949425447955,0.4733029331274987,1.7906423882904596,1.3852857417189297,95.66558938047392,45.23297132837404,-72.4707242200946,14,4.22100415199975
TSLRSH-GPU-012,MIN01,FORCE_CLOUD_PERTURBATION,af902dc5c296178e22f56d8a423b587b5a7fa5fa013874cef457395520f30b0d,c10fdc555f8a1cea441f618e56c1ffcb4c11fb9805a4f78d86859b8a9431ca84,-1477.9102686205465,-1477.823139253042,-0.08712936750442682,7.4972253772038595,18.89135436876098,71.45123305631625,-25.11525454581043,-9.61981117879482,0.33483702900227524,0.48213887235709735,1.852135810381048,1.3646024700933361,96.07568754828219,50.080857424897516,-55.27606691800613,14,4.183659647999775
TSLRSH-GPU-013,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,ac9039f9aa88fd879e51d007bcdb4133d49abef114c9f025f37bac78e3c88ef3,0b64a1bf32e1d7c67f1097ac3e4ce6c4463bb0232d6b6d58ba6e886b66a6a186,-1477.9069239977148,-1477.8199380620385,-0.0869859356761445,9.609958076424464,25.249552672785505,35.46236696465428,5.7474350984832725,-35.204426674741605,0.33034564339153377,0.47052176001103363,1.8750494790097902,1.3467297705247923,99.31895025070685,59.26849071779586,-28.778530945142215,14,4.196974943999976
TSLRSH-GPU-014,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,da9619f1b40d25d6ca8f5d23e29fab6021993965bb5a8a3bcf2576680da1290b,7ad5dd74f87906a9e37481491ba35883c3245163783919799139f85b6a0f8039,-1477.937375377311,-1477.850978869179,-0.08639650813193468,3.121980017438888,4.672956810167428,8.316919436148122,4.443063971697237,-7.162832257892745,0.32939309853937315,0.4810365760061553,1.869041800378632,1.3600525127292928,95.77111743955105,59.99330269934026,-60.00430172455097,13,4.016438912000012
TSLRSH-GPU-015,MIN01,FORCE_CLOUD_PERTURBATION,0cdbbb83fc06366a1d50ddf5fd252a4c1fd78dc2fe273632922ad97aaafdbf6c,dfb25da5d41b59b52cfc88d1be962903afdfb6ac5d69e4d8a04ecbecb4599f5b,-1477.9402956135434,-1477.8543519106306,-0.08594370291279081,3.0800847309808175,8.109963047634299,30.200016971042622,9.125817055985262,24.24722887840284,0.3287897023493789,0.478692344795612,1.8916670603682306,1.3978740749877803,96.07568754483398,39.11773275655419,-69.71057381076355,14,4.194703010000012
TSLRSH-GPU-016,MIN01,FORCE_CLOUD_PERTURBATION,ac26071d14dca9cc78446febfd0a0824b4b7ca9e505d8d9779ddadb78cbbf570,01786c2f76f0cce1eb2ec5ea9458873d5ab568c42052f30262a32637e6b80feb,-1477.9418040284438,-1477.8558089295639,-0.0859950988800057,2.875609372407304,7.516788597949566,25.170406665008223,6.236171291764014,-23.994752242297203,0.32831952315350327,0.47692454366544473,1.8641670604389138,1.3245407417213562,96.07568754407595,32.65470004356548,-70.20203607621343,14,4.2524106849996315
TSLRSH-GPU-017,MIN01,FORCE_CLOUD_PERTURBATION,67e0dd67e6e78d7e872ac75578bdc85d62ad5eb3af74497f61a4e341991e33ab,5240be29e93f608545578e91fc7e4e193f4eb0aa7b63a284f47741fec456f496,-1477.9230281761488,-1477.8371361443606,-0.08589203178831163,15.517149830557472,17.420422192876792,10.569426599426091,10.283288460242026,-1.4369815951719318,0.32834926532519054,0.4771096526386473,1.8756204551344131,1.3642753992652867,96.1380292194361,40.530024340424035,-68.96973249844626,14,4.172894600000291
TSLRSH-GPU-018,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,d5b07126c35e75da9d7968c55cedf146bce7622cafbef3373757114637770708,e70af1b78dd0b4f37788e0c01ffe7b3640998665e79f76e5cf9e573696359ede,-1477.9231032970442,-1477.8358405311928,-0.0872627658514982,5.529557588756061,14.246977704848248,31.032106951078134,-8.763425088028718,-26.886779731337363,0.3308207477024334,0.4687134916321754,1.8509058340801092,1.3608354635449857,96.7776645292131,59.89886400974024,-41.696154382597435,14,4.200496438999835
TSLRSH-GPU-019,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,8b929560cb0ddca33d5b0fc9f36b0da93c7e3178b19c0a43df5a48dbf4d0c6a5,5c8ed6de551af88ec5d40bd04616eabe8c86db927eda58c42caa75809816a869,-1477.8789864485177,-1477.7918543456185,-0.08713210289927419,10.227970773666613,27.05078416096119,41.51078875395186,-0.011485410015658181,34.96902403835424,0.3319247783007959,0.467424452117458,1.8536680396905232,1.3666126458125536,100.03644278682859,-60.013510679135706,-0.0010006248224248566,13,3.953999605000263
TSLRSH-GPU-020,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,b7d1c78f1736ef11f637a0efc42fbedf1f260ce0307a96ff7d5ee3474bf6fc8c,5afaf777f71168d546d02fadf90ced71b6fa70724275df97d0e765f7fec4a615,-1477.9402261141404,-1477.8539953138102,-0.08623080033011038,1.7613155213787826,4.491409855213999,5.903779392172433,-0.13933351279534453,-5.577303829644107,0.3296687033540139,0.48089412502760737,1.849588141637939,1.362405569011919,96.57105497059544,59.99535935515019,-60.00381932955173,14,4.145201455000006
