dimension,evidence_hash,molecule_id,calculation_type,protocol_key,acceptance,source_path,source_sha256
"QUANTUM","65dc6d6bffb22b9b3197bcce20288416e7a504968138238f856b3f728246d4b5","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|unknown|unknown","ACCEPTED","execution-unit-05G/attempts/phi180_psi180_direct_restart/final.xyz","30c5c67ad82cc0435687b0a93542201322a9af161659cc32b2e4eb2cbbe01547"
"QUANTUM","6726316db00cae81454694e784efef710d7b31bb7e2620df873c3df9717a9d67","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-12/12_MIN01_O2_ACCEPTOR_2.8/geometry.xyz","913b59b3e133bef5b7e77bece30ff3405e7fa035a5ba47de40a5aaea84a0c98a"
"QUANTUM","685f77c4065ec91f2e4a7439014556bfbbaadbb0a4d2db102f35fb5858de9a19","TSL-RSH","SINGLE_POINT","unknown|none|none|none|false|unknown|unknown","EXCLUDED_BY_PROTOCOL","execution-unit-05C/qm/local_fragments/TSL_RSH_LOCAL/fragment.xyz","42b64f89c371d928812a64b0fe876271fdf2fc747712f1e164dcb3bede80a49c"
"QUANTUM","68ca25bffb7948592ae96f5047e80f5c44fea6db0c41ea5b680561aebefa94bb","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05L/points/phi300_psi060_A_m10/final.xyz","f15f1b07092d2cb85a3d2524838fc1486fa641d2c1e192842bffe00a3cc52ce3"
"QUANTUM","696b839f1e3c9111e678d41543c17687bfe3f62a136326cea1c16f92f8ecf1ca","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/replacement-sh-donor-qm-local/MIN02_SH_DONOR_1.7A/geometry.xyz","b81f4a01cd6942588819b682f784691a045448267acefd02d976c92dd507300f"
"QUANTUM","6b1b26dcc4042c5a519d939b2295a6871dc2afa4c956f754720a9589b94729a3","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05H/points/phi300_psi-060/final.xyz","39e23cf6b34781fc3368cadf467c82cfeeb65539009bd891c6e0a80051388779"
"QUANTUM","6e5e340aa05adc166b771adb7e468a44102b99a38a0def9f12b00a818881fee5","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-2/02_MIN01_S_ACCEPTOR_2.8/result.json","82130719befb723e91692cc082e9dbdb2aa965d081badad14ebd95737b19bd7d"
"QUANTUM","76f903f847b5e258e571120f643ef8af0927a3672be0a9931af64247c128d607","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05L/points/phi060_psi060_B_p10/final.xyz","57097718117ebdaf66a7875dc81f774b9fd2b9a03a39555eccc5aba5d40b65e1"
"QUANTUM","76fa4c695f13b39baf74c795320b8fb1762a2350ec9febc4d1906fdef71f637f","TSL-RSH","SINGLE_POINT","unknown|none|none|none|false|unknown|unknown","EXCLUDED_BY_PROTOCOL","execution-unit-05C/qm/local_fragments/TSL_RSH_LOCAL/xtbopt.xyz","f808021b16f2b0281f09acda9bef58c187cfeecff66af2cd41ae30102dade693"
"QUANTUM","7723b7a0d9fcab73b25ffe9f9587ada58b7573a4b443091b585c751edded8e62","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|unknown|unknown","ACCEPTED","execution-unit-05G/attempts/phi180_psi060_neighbor_seed/final.xyz","d99b3c02fef39f0ebe73c8c0b3675be78b0a9de2846cefefde65868e7f5b2084"
