evaluation_id,purpose,LOCAL_TYPE_1,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_2,LOCAL_TYPE_30,LOCAL_TYPE_7,PHI_N1_PHASE0,PHI_N2_PHASE180,equal_surface_profile_mse,regularization,objective
EVAL_00033,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.16668765246883627,0.0,7.191670146979405,0.0019525533704938954,7.1936227003498985
EVAL_00034,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.16868765246883627,0.0,7.179750568623793,0.0019591008765926492,7.1817096695003855
EVAL_00035,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.16668765246883627,0.002,7.1797916330474765,0.0019524333704938957,7.181744066417971
EVAL_00036,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.8536562670806442,0.0,7.145853249237336,0.008961835858898783,7.154815085096235
EVAL_00037,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.8536562670806442,0.0,7.146093757769144,0.008929258888867815,7.155023016658012
EVAL_00038,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.8536562670806442,0.0,7.157589392217967,0.008961995858898782,7.166551388076866
EVAL_00039,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.8556562670806442,0.0,7.1457639895986285,0.008996022109582008,7.154760011708211
EVAL_00040,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.8536562670806442,0.002,7.145934710364838,0.008961875858898783,7.154896586223736
EVAL_00041,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,2.0,0.0,7.083948228692634,0.04167454563563818,7.1256227743282725
EVAL_00042,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,2.0,0.0,7.084207726987546,0.04164196866560722,7.125849695653153
EVAL_00043,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,2.0,0.0,7.095602413942406,0.04167470563563818,7.1372771195780444
EVAL_00044,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,1.998,0.0,7.084038178018162,0.04159458563563818,7.1256327636538
EVAL_00045,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,2.0,0.002,7.083975389804699,0.04167458563563818,7.1256499754403375
