evaluation_id,axis,purpose,LOCAL_TYPE_1,LOCAL_TYPE_2,LOCAL_TYPE_7,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_30,profile_mse_kcal2_mol2,regularization,objective
EVAL_00020,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4750498709400972,0.26178299232640184,0.6326641122548208,0.002590273747046738,0.6352543860018676
EVAL_00021,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4730498709400972,0.26378299232640184,0.632678366390414,0.002573591046468547,0.6352519574368826
EVAL_00022,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47316484239538015,0.261674162686088,0.632696490059642,0.002555444150823958,0.635251934210466
EVAL_00023,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47516484239538015,0.261674162686088,0.6326606889099092,0.002591310525607219,0.6352519994355165
EVAL_00024,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47316484239538015,0.263674162686088,0.6326740451365588,0.0025745920168537316,0.6352486371534125
EVAL_00025,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4731488548002506,0.261903191868141,0.6326949498722946,0.002557335217403811,0.6352522850896984
EVAL_00026,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4751488548002506,0.261903191868141,0.6326635589726277,0.0025931990341718516,0.6352567580067996
EVAL_00027,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4731488548002506,0.263903191868141,0.6326737993707288,0.0025765197281027137,0.6352503190988315
EVAL_00028,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4731632226729102,0.26169736590767545,0.6326960054359184,0.0025556355450871804,0.6352516409810056
EVAL_00029,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4751632226729102,0.26169736590767545,0.6326617683142599,0.002591501660714846,0.6352532699749748
EVAL_00030,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4731632226729102,0.26369736590767545,0.6326762277689899,0.0025747871236324084,0.6352510148926224
EVAL_00031,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47316116504592043,0.2617049973857175,0.6326963047377202,0.0025556712795598295,0.63525197601728
EVAL_00032,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47516116504592043,0.2617049973857175,0.6326643390716554,0.002591537065967177,0.6352558761376226
EVAL_00033,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47316116504592043,0.2637049973857175,0.6326763905980995,0.0025748240791415443,0.6352512146772411
EVAL_00034,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4731632185652821,0.2616973811423482,0.6326962688592958,0.00255563561641871,0.6352519044757144
EVAL_00035,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4751632185652821,0.2616973811423482,0.6326615475915242,0.002591501731389155,0.6352530493229133
EVAL_00036,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4731632185652821,0.2636973811423482,0.6326758904135436,0.0025747871974014856,0.635250677610945
EVAL_00037,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47316322061907506,0.26169737352509,0.6326963827122442,0.0025556355807533084,0.6352520182929975
EVAL_00038,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47516322061907507,0.26169737352509,0.6326644503661908,0.0025915016960523602,0.6352559520622432
EVAL_00039,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47316322061907506,0.26369737352509,0.6326756021801218,0.0025747871605173223,0.635250389340639
EVAL_00040,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4731632216459679,0.26169736971647456,0.6326971681486816,0.0025556355629206746,0.6352528037116023
EVAL_00041,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4751632216459679,0.26169736971647456,0.6326641272951651,0.002591501678384029,0.6352556289735491
EVAL_00042,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4731632216459679,0.26369736971647456,0.6326757531332595,0.0025747871420753105,0.6352505402753348
EVAL_00043,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47234872568833,0.2620104100992998,0.6327198552981593,0.0025440973410891096,0.6352639526392484
EVAL_00044,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47434872568833,0.2620104100992998,0.6326695588957446,0.002579833137199242,0.6352493920329438
EVAL_00045,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47234872568833,0.2640104100992998,0.6326887633350032,0.002563299006704998,0.6352520623417083
