authoritative_point,scan_axis,nominal_scan_angle,qm_relative_kcal_mol,mm_relative_kcal_mol,qm_minus_mm_residual_kcal_mol,physical_torsion_id,physical_torsion_relationship,physical_dihedral_degrees
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PHI_I05_7-8-9-25,PHI,-69.80503285024825
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PHI_I06_7-8-9-36,PHI,174.01724815725726
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PHI_I07_10-9-8-34,PHI,-68.43198824796389
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PHI_I08_10-9-8-35,PHI,176.21304585839133
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PHI_I09_25-9-8-34,PHI,166.5178873893943
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PHI_I10_25-9-8-35,PHI,51.1629214957495
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PHI_I11_34-8-9-36,PHI,50.340168396899806
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PHI_I12_35-8-9-36,PHI,-65.014797496745
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PSI_I13_1-7-8-9,PSI,-53.1161980800339
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PSI_I14_6-7-8-9,PSI,128.8713397295796
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PSI_I15_1-7-8-34,PSI,71.35759762247719
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PSI_I16_1-7-8-35,PSI,-173.2357518129807
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PSI_I17_6-7-8-34,PSI,-106.65486456790934
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,PSI_I18_6-7-8-35,PSI,8.751785996632796
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,CHI_I01_8-9-25-55,CHI,90.00023061260343
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,CHI_I02_10-9-25-55,CHI,-33.76794388755681
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,CHI_I03_36-9-25-55,CHI,-153.65372352525264
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PHI_I04_7-8-9-10,PHI,55.01444969583268
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PHI_I05_7-8-9-25,PHI,-70.4509617701755
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PHI_I06_7-8-9-36,PHI,173.66964448608326
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PHI_I07_10-9-8-34,PHI,-68.66631684623647
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PHI_I08_10-9-8-35,PHI,175.93913067738924
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PHI_I09_25-9-8-34,PHI,165.86827168775537
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PHI_I10_25-9-8-35,PHI,50.47371921138103
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PHI_I11_34-8-9-36,PHI,49.988877944014085
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PHI_I12_35-8-9-36,PHI,-65.40567453236022
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PSI_I13_1-7-8-9,PSI,-52.84627081442951
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PSI_I14_6-7-8-9,PSI,129.22795629082802
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PSI_I15_1-7-8-34,PSI,71.6401063651325
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PSI_I16_1-7-8-35,PSI,-172.92621196917472
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PSI_I17_6-7-8-34,PSI,-106.28566652961
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,PSI_I18_6-7-8-35,PSI,9.148015136082806
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,CHI_I01_8-9-25-55,CHI,104.30574961957932
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,CHI_I02_10-9-25-55,CHI,-19.207145288041414
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,CHI_I03_36-9-25-55,CHI,-139.19273722610174
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PHI_I04_7-8-9-10,PHI,55.06441691392825
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PHI_I05_7-8-9-25,PHI,-70.1609432373451
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PHI_I06_7-8-9-36,PHI,173.79305519758614
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PHI_I07_10-9-8-34,PHI,-68.67057193561048
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PHI_I08_10-9-8-35,PHI,175.95064007642327
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PHI_I09_25-9-8-34,PHI,166.10406791311618
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PHI_I10_25-9-8-35,PHI,50.72527992514992
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PHI_I11_34-8-9-36,PHI,50.05806634804743
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PHI_I12_35-8-9-36,PHI,-65.32072163991884
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PSI_I13_1-7-8-9,PSI,-52.817361784269586
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PSI_I14_6-7-8-9,PSI,129.31187076241508
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PSI_I15_1-7-8-34,PSI,71.7286583038058
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PSI_I16_1-7-8-35,PSI,-172.8616790668477
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PSI_I17_6-7-8-34,PSI,-106.14210914950955
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,PSI_I18_6-7-8-35,PSI,9.267553479836959
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,CHI_I01_8-9-25-55,CHI,119.4555998969394
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,CHI_I02_10-9-25-55,CHI,-3.285271546304578
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,CHI_I03_36-9-25-55,CHI,-123.47436681394608
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PHI_I04_7-8-9-10,PHI,55.377662608831834
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PHI_I05_7-8-9-25,PHI,-69.16334432794118
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PHI_I06_7-8-9-36,PHI,174.276979352804
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PHI_I07_10-9-8-34,PHI,-68.44824287347087
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PHI_I08_10-9-8-35,PHI,176.21788393275136
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PHI_I09_25-9-8-34,PHI,167.01075018975615
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PHI_I10_25-9-8-35,PHI,51.67687699597835
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PHI_I11_34-8-9-36,PHI,50.45107387050131
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PHI_I12_35-8-9-36,PHI,-64.88279932327649
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PSI_I13_1-7-8-9,PSI,-53.00039847567514
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PSI_I14_6-7-8-9,PSI,129.16261210268814
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PSI_I15_1-7-8-34,PSI,71.6418228294229
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PSI_I16_1-7-8-35,PSI,-173.00325229120077
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PSI_I17_6-7-8-34,PSI,-106.19516659221381
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,PSI_I18_6-7-8-35,PSI,9.159758287162555
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,CHI_I01_8-9-25-55,CHI,135.6219475220636
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,CHI_I02_10-9-25-55,CHI,13.753470382845952
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,CHI_I03_36-9-25-55,CHI,-106.69260747627038
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PHI_I04_7-8-9-10,PHI,55.83683219884563
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PHI_I05_7-8-9-25,PHI,-68.06044481717912
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PHI_I06_7-8-9-36,PHI,174.83839999015441
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PHI_I07_10-9-8-34,PHI,-68.08219257900863
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PHI_I08_10-9-8-35,PHI,176.6306996115465
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PHI_I09_25-9-8-34,PHI,168.02053040496662
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PHI_I10_25-9-8-35,PHI,52.73342259552178
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PHI_I11_34-8-9-36,PHI,50.919375212300174
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PHI_I12_35-8-9-36,PHI,-64.36773259714468
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PSI_I13_1-7-8-9,PSI,-53.327785498639464
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PSI_I14_6-7-8-9,PSI,128.85623299819042
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PSI_I15_1-7-8-34,PSI,71.4157112784171
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PSI_I16_1-7-8-35,PSI,-173.295310230443
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PSI_I17_6-7-8-34,PSI,-106.40027022475302
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,PSI_I18_6-7-8-35,PSI,8.888708266386919
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,CHI_I01_8-9-25-55,CHI,150.70852126850903
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,CHI_I02_10-9-25-55,CHI,29.28834628674585
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,CHI_I03_36-9-25-55,CHI,-91.30558064784549
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PHI_I04_7-8-9-10,PHI,56.03961676871522
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PHI_I05_7-8-9-25,PHI,-67.52370703453569
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PHI_I06_7-8-9-36,PHI,175.08171678293712
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PHI_I07_10-9-8-34,PHI,-67.93274354795935
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PHI_I08_10-9-8-35,PHI,176.81507784983157
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PHI_I09_25-9-8-34,PHI,168.50393264878971
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PHI_I10_25-9-8-35,PHI,53.25175404658063
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PHI_I11_34-8-9-36,PHI,51.10935646626255
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PHI_I12_35-8-9-36,PHI,-64.14282213594657
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PSI_I13_1-7-8-9,PSI,-53.5405541714112
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PSI_I14_6-7-8-9,PSI,128.669754726056
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PSI_I15_1-7-8-34,PSI,71.26208692732925
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PSI_I16_1-7-8-35,PSI,-173.5010834809174
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PSI_I17_6-7-8-34,PSI,-106.52760417520356
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,PSI_I18_6-7-8-35,PSI,8.709225416549785
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,CHI_I01_8-9-25-55,CHI,165.66248552598088
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,CHI_I02_10-9-25-55,CHI,44.07322736634607
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,CHI_I03_36-9-25-55,CHI,-76.44866625329409
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PHI_I04_7-8-9-10,PHI,55.86967165742034
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PHI_I05_7-8-9-25,PHI,-67.67581132268462
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PHI_I06_7-8-9-36,PHI,174.93612007728203
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PHI_I07_10-9-8-34,PHI,-68.07183516398891
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PHI_I08_10-9-8-35,PHI,176.64836867482157
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PHI_I09_25-9-8-34,PHI,168.38268185590616
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PHI_I10_25-9-8-35,PHI,53.10288569471662
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PHI_I11_34-8-9-36,PHI,50.99461325587276
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PHI_I12_35-8-9-36,PHI,-64.28518290531676
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PSI_I13_1-7-8-9,PSI,-53.40531909116223
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PSI_I14_6-7-8-9,PSI,128.8357146300041
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PSI_I15_1-7-8-34,PSI,71.37164794850227
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PSI_I16_1-7-8-35,PSI,-173.37485388654045
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PSI_I17_6-7-8-34,PSI,-106.3873183303314
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,PSI_I18_6-7-8-35,PSI,8.866179834625905
PHI_-180,PHI,-180,12.297421019351964,14.113844660547272,-1.8164236411953087,CHI_I01_8-9-25-55,CHI,63.47360141480758
