candidate,axis,angle_degrees,qm_relative_kcal_mol,c1_mm_relative_kcal_mol,c3_mm_relative_kcal_mol,direct_new_term_on_c1_geometry,c3_relaxed_geometry_persisted,delta_bond,delta_angle,delta_dihedral,delta_vdw,delta_elec,delta_vdw_14,delta_elec_14,relative_profile_response,direct_fixed_geometry_effect,relaxation_mediated_effect
C3C_CHI_N2_PHI_N3,CHI,120,3.7373350122694022,3.2875621782041122,3.2450137778019155,11.554742184754442,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.04254840040219676,-0.3529997056388581,0.3104513052366613
C3C_CHI_N2_PHI_N3,CHI,135,3.8030037733710786,3.0811260438902153,3.1715383951781178,11.745861246045203,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.09041235128790248,-0.16188064434809668,0.25229299563599916
C3C_CHI_N2_PHI_N3,CHI,150,3.292878201783699,2.281691567403115,2.3639985628204983,11.831380430253583,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.08230699541738318,-0.0763614601397169,0.15866845555710007
C3C_CHI_N2_PHI_N3,CHI,165,2.5316328285396272,1.3811964576913525,1.3055779305713884,11.764568739417339,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.07561852711996409,-0.1431731509759615,0.06755462385599742
C3C_CHI_N2_PHI_N3,PHI,-180,12.297421019351964,14.113844660547272,21.99013988800249,15.956400710818304,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,7.876295227455216,6.036048133226853,1.8402470942283635
C3C_CHI_N2_PHI_N3,PHI,-165,12.017065696114134,13.576862767954907,23.412911490182253,17.11612204194844,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,9.836048722227346,7.195769464356989,2.6402792578703576
C3C_CHI_N2_PHI_N3,PHI,-150,12.14534987811232,13.21439256251152,18.683816729379004,14.37453121622735,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,5.4694241668674835,4.454178638635899,1.0152455282315849
C3C_CHI_N2_PHI_N3,PHI,-135,12.088672339648122,12.210367877382026,12.148860702920416,8.792904130449188,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.06150717446161025,-1.1274484471422639,1.0659412726806536
C3C_CHI_N2_PHI_N3,PHI,-120,9.406090467076242,9.653342055627007,6.100138834853979,3.9484213330037035,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-3.553203220773028,-5.971931244587748,2.4187280238147197
C3C_CHI_N2_PHI_N3,PHI,-105,5.389702277432289,5.933403152837386,1.7739558484245208,3.2555872081773325,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-4.159447304412865,-6.664765369414119,2.505318065001254
