experimental_term,physical_instance,scan_axis,angle_degrees,qm_relative_kcal_mol,direct_instance_energy_kcal_mol
PHI_N3_RESIDUAL,7-8-9-10,PHI,-105,5.389702277432289,0.1130697751311337
PHI_N3_RESIDUAL,7-8-9-10,PHI,-90,1.8840517384563273,0.49736793412886177
PHI_N3_RESIDUAL,7-8-9-10,PHI,-75,0.0,0.9402462254061249
PHI_N3_RESIDUAL,7-8-9-10,PHI,-60,1.1679589391511374,1.3197319811481123
PHI_N3_RESIDUAL,7-8-9-10,PHI,-45,5.348395421266241,1.554595787661934
PHI_N3_RESIDUAL,7-8-9-10,PHI,-30,12.61886348886727,1.621858043658019
PHI_N3_RESIDUAL,7-8-9-10,PHI,-15,24.120153734931876,1.5369261082802146
PHI_N3_RESIDUAL,7-8-9-10,PHI,0,39.62646469177788,1.3510022857860156
PHI_N3_RESIDUAL,7-8-9-10,PHI,105,36.46525443667219,1.112598598041165
PHI_N3_RESIDUAL,7-8-9-10,PHI,120,25.91194918747669,0.9745523662341641
PHI_N3_RESIDUAL,7-8-9-10,PHI,135,18.085910819557824,0.881626175499514
PHI_N3_RESIDUAL,7-8-9-10,PHI,150,13.569233322541978,0.947189864178298
PHI_N3_RESIDUAL,7-8-9-10,PHI,165,12.21349737743903,1.227736251762036
PHI_N3_RESIDUAL,7-8-9-10,PSI,-105,32.011747071349355,1.5722818947862773
PHI_N3_RESIDUAL,7-8-9-10,PSI,-90,14.696882575166297,1.5451866634233722
PHI_N3_RESIDUAL,7-8-9-10,PSI,-75,4.330868332829533,1.4629231888276515
PHI_N3_RESIDUAL,7-8-9-10,PSI,-60,0.0,1.2555337805226066
PHI_N3_RESIDUAL,7-8-9-10,PSI,-45,0.19638589416353,0.8951591270138864
PHI_N3_RESIDUAL,7-8-9-10,PSI,-30,3.0779934750218234,0.4702595510517451
PHI_N3_RESIDUAL,7-8-9-10,PSI,-15,6.97513939178259,0.11223469854341103
PHI_N3_RESIDUAL,7-8-9-10,PSI,0,10.412722960962697,0.017008330356275574
PHI_N3_RESIDUAL,7-8-9-10,PSI,15,11.945479233545104,0.6328587464974917
PHI_N3_RESIDUAL,7-8-9-10,PSI,30,11.696853683615846,1.5243506539310316
PHI_N3_RESIDUAL,7-8-9-10,PSI,45,12.409782605194598,1.550533403290691
PHI_N3_RESIDUAL,7-8-9-10,PSI,60,15.683428081132595,1.3219362373930046
PHI_N3_RESIDUAL,7-8-9-10,PSI,75,23.207234060776265,1.2204357909636627
PHI_N3_RESIDUAL,7-8-9-10,PSI,90,36.77978373595889,1.1488782171892968
PHI_N3_RESIDUAL,7-8-9-25,CHI,-180,1.8361875979134048,0.9609506195444273
PHI_N3_RESIDUAL,7-8-9-25,CHI,-165,1.4130028718141248,0.9404187326973471
PHI_N3_RESIDUAL,7-8-9-25,CHI,-150,1.3982414847839755,0.9302444214492502
PHI_N3_RESIDUAL,7-8-9-25,CHI,-135,1.7201805587324959,0.9414710995553953
PHI_N3_RESIDUAL,7-8-9-25,CHI,-120,2.1004462123625456,0.9741965859409423
PHI_N3_RESIDUAL,7-8-9-25,CHI,-105,2.282405294363951,1.006426239006363
PHI_N3_RESIDUAL,7-8-9-25,CHI,-90,2.191846518770847,1.0224534701319112
PHI_N3_RESIDUAL,7-8-9-25,CHI,-75,1.9493375527533943,1.0180788328427939
PHI_N3_RESIDUAL,7-8-9-25,CHI,-60,1.7582771045303314,1.0008459695751133
PHI_N3_RESIDUAL,7-8-9-25,CHI,-45,1.7517423921353694,0.9847361852085275
PHI_N3_RESIDUAL,7-8-9-25,CHI,-30,1.8731815879809242,0.9798665173547217
PHI_N3_RESIDUAL,7-8-9-25,CHI,-15,1.8830474967830666,0.9939222244800618
PHI_N3_RESIDUAL,7-8-9-25,CHI,0,1.53761834092137,1.0196050269050394
PHI_N3_RESIDUAL,7-8-9-25,CHI,15,0.8500053424677801,1.029480936033157
PHI_N3_RESIDUAL,7-8-9-25,CHI,30,0.1979165005694423,1.0131752867412869
PHI_N3_RESIDUAL,7-8-9-25,CHI,45,0.0,0.9778604468974497
PHI_N3_RESIDUAL,7-8-9-25,CHI,60,0.32618472333560894,0.9369504183486824
PHI_N3_RESIDUAL,7-8-9-25,CHI,75,1.0408015037026501,0.8934448011234332
PHI_N3_RESIDUAL,7-8-9-25,CHI,90,2.0223598887749024,0.8661052275283772
PHI_N3_RESIDUAL,7-8-9-25,CHI,105,3.0480034924252344,0.878390169696121
PHI_N3_RESIDUAL,7-8-9-25,CHI,120,3.7373350122694022,0.9205119355102914
PHI_N3_RESIDUAL,7-8-9-25,CHI,135,3.8030037733710786,0.966728411049973
PHI_N3_RESIDUAL,7-8-9-25,CHI,150,3.292878201783699,0.9890421779931653
PHI_N3_RESIDUAL,7-8-9-25,CHI,165,2.5316328285396272,0.9827322455192918
PHI_N3_RESIDUAL,7-8-9-25,PHI,-180,12.297421019351964,1.3011065386066865
PHI_N3_RESIDUAL,7-8-9-25,PHI,-165,12.017065696114134,1.6146610396962136
PHI_N3_RESIDUAL,7-8-9-25,PHI,-150,12.14534987811232,1.4585985082132342
PHI_N3_RESIDUAL,7-8-9-25,PHI,-135,12.088672339648122,0.9499569315125073
PHI_N3_RESIDUAL,7-8-9-25,PHI,-120,9.406090467076242,0.3440999819074092
PHI_N3_RESIDUAL,7-8-9-25,PHI,-105,5.389702277432289,0.01174832961240592
PHI_N3_RESIDUAL,7-8-9-25,PHI,-90,1.8840517384563273,0.14910115846684635
PHI_N3_RESIDUAL,7-8-9-25,PHI,-75,0.0,0.674730158754718
PHI_N3_RESIDUAL,7-8-9-25,PHI,-60,1.1679589391511374,1.2774465302575673
PHI_N3_RESIDUAL,7-8-9-25,PHI,-45,5.348395421266241,1.609936272637384
PHI_N3_RESIDUAL,7-8-9-25,PHI,-30,12.61886348886727,1.478842826312309
PHI_N3_RESIDUAL,7-8-9-25,PHI,-15,24.120153734931876,0.9595269134226251
PHI_N3_RESIDUAL,7-8-9-25,PHI,0,39.62646469177788,0.35268782897972495
PHI_N3_RESIDUAL,7-8-9-25,PHI,105,36.46525443667219,0.9520082104734537
PHI_N3_RESIDUAL,7-8-9-25,PHI,120,25.91194918747669,0.34265988348704474
PHI_N3_RESIDUAL,7-8-9-25,PHI,135,18.085910819557824,0.011263593723584386
PHI_N3_RESIDUAL,7-8-9-25,PHI,150,13.569233322541978,0.1504892179842705
PHI_N3_RESIDUAL,7-8-9-25,PHI,165,12.21349737743903,0.7017414256924791
PHI_N3_RESIDUAL,7-8-9-25,PSI,-105,32.011747071349355,1.5663326561048712
PHI_N3_RESIDUAL,7-8-9-25,PSI,-90,14.696882575166297,1.5097138157440477
PHI_N3_RESIDUAL,7-8-9-25,PSI,-75,4.330868332829533,1.384455972798738
PHI_N3_RESIDUAL,7-8-9-25,PSI,-60,0.0,1.1131798577979841
PHI_N3_RESIDUAL,7-8-9-25,PSI,-45,0.19638589416353,0.7036673812982636
PHI_N3_RESIDUAL,7-8-9-25,PSI,-30,3.0779934750218234,0.29276360905402293
PHI_N3_RESIDUAL,7-8-9-25,PSI,-15,6.97513939178259,0.02805674330361118
PHI_N3_RESIDUAL,7-8-9-25,PSI,0,10.412722960962697,0.09128332669558735
PHI_N3_RESIDUAL,7-8-9-25,PSI,15,11.945479233545104,0.892139496718486
PHI_N3_RESIDUAL,7-8-9-25,PSI,30,11.696853683615846,1.6089768098128394
PHI_N3_RESIDUAL,7-8-9-25,PSI,45,12.409782605194598,1.4230124870005927
PHI_N3_RESIDUAL,7-8-9-25,PSI,60,15.683428081132595,1.1464349967910206
PHI_N3_RESIDUAL,7-8-9-25,PSI,75,23.207234060776265,1.0921366937550443
PHI_N3_RESIDUAL,7-8-9-25,PSI,90,36.77978373595889,1.077229439094013
PHI_N3_RESIDUAL,7-8-9-36,CHI,-180,1.8361875979134048,1.0794490963135643
PHI_N3_RESIDUAL,7-8-9-36,CHI,-165,1.4130028718141248,1.071729780074007
PHI_N3_RESIDUAL,7-8-9-36,CHI,-150,1.3982414847839755,1.067317804118251
PHI_N3_RESIDUAL,7-8-9-36,CHI,-135,1.7201805587324959,1.069889220688298
PHI_N3_RESIDUAL,7-8-9-36,CHI,-120,2.1004462123625456,1.0798328099012149
PHI_N3_RESIDUAL,7-8-9-36,CHI,-105,2.282405294363951,1.090459486204845
PHI_N3_RESIDUAL,7-8-9-36,CHI,-90,2.191846518770847,1.097246712043218
PHI_N3_RESIDUAL,7-8-9-36,CHI,-75,1.9493375527533943,1.0992217374232647
PHI_N3_RESIDUAL,7-8-9-36,CHI,-60,1.7582771045303314,1.0985525458945524
PHI_N3_RESIDUAL,7-8-9-36,CHI,-45,1.7517423921353694,1.0989370777721472
PHI_N3_RESIDUAL,7-8-9-36,CHI,-30,1.8731815879809242,1.1040088394825676
PHI_N3_RESIDUAL,7-8-9-36,CHI,-15,1.8830474967830666,1.1148903705499078
PHI_N3_RESIDUAL,7-8-9-36,CHI,0,1.53761834092137,1.127087378613192
PHI_N3_RESIDUAL,7-8-9-36,CHI,15,0.8500053424677801,1.127733856833158
PHI_N3_RESIDUAL,7-8-9-36,CHI,30,0.1979165005694423,1.114290486295289
PHI_N3_RESIDUAL,7-8-9-36,CHI,45,0.0,1.0936630970319414
