authoritative_point,scan_axis,nominal_scan_angle,qm_relative_kcal_mol,mm_relative_kcal_mol,qm_minus_mm_residual_kcal_mol,bond,angle,dihedral,vdw,elec,vdw_14,elec_14,tot,bond_relative_kcal_mol,angle_relative_kcal_mol,dihedral_relative_kcal_mol,vdw_relative_kcal_mol,elec_relative_kcal_mol,vdw_14_relative_kcal_mol,elec_14_relative_kcal_mol,tot_relative_kcal_mol
PHI_-060,PHI,-60,1.1679589391511374,0.26870086608946764,0.8992580730616697,3.886519735115417,12.565825376612082,71.91866401927905,-5.143050332975431,-47.999195623990786,11.271259858543635,12.410566717742483,58.910589750326444,0.22960915656942582,-0.3468802501847552,-0.31589668963110284,-0.05630819124456732,-0.0924889964238389,0.49605128817428934,0.3546145488300141,0.26870086608946764
PHI_-045,PHI,-45,5.348395421266241,4.3162240784408965,1.032171342825344,4.461529298191155,14.12724419949853,72.06976745442222,-4.4685532469877645,-48.80650158714278,12.356998951062444,13.217627893634084,62.95811296267787,0.804618719645164,1.2145385727016933,-0.16479325448793247,0.6181888947430991,-0.8997949595758357,1.5817903806930982,1.161675724721615,4.3162240784408965
PHI_-030,PHI,-30,12.61886348886727,13.199569011046464,-0.5807055221791941,5.549962299799471,18.91473913858057,72.66902183641054,-3.5391993635993617,-49.506041859671456,13.898422208266709,13.854553635496963,71.84145789528344,1.8930517212534803,6.002033511783731,0.43446112750038424,1.5475427781315019,-1.599335232104508,3.123213637897363,1.7986014665844934,13.199569011046464
PHI_-015,PHI,-15,24.120153734931876,27.162284406442268,-3.0421306715103924,7.266563129119089,27.297724372325895,73.61408735505172,-2.3167482171361335,-50.175063982369885,15.655126324308842,14.4624843093797,85.80417329067924,3.6096525505730983,14.385018745529058,1.3795266461415707,2.76999392459473,-2.268357354802937,4.8799177539394964,2.406532140467231,27.162284406442268
PHI_+000,PHI,0,39.62646469177788,45.83518571396594,-6.208721022188058,9.587550561663368,39.143176933194496,74.7506487953345,-0.9617011119444459,-50.753369677615545,17.653604738984992,15.057164358585553,104.47707459820292,5.930639983117377,26.23047130639766,2.5160880864243467,4.125041029786418,-2.8466630500485977,6.878396168615646,3.0012121896730832,45.83518571396594
PHI_+105,PHI,105,36.46525443667219,41.15139950012829,-4.686145063456102,4.878427553698032,41.74926991868334,78.40639398635255,-3.5427574634314896,-48.18290337988061,13.273358975309211,13.211498793634235,99.79328838436527,1.2215169751520407,28.836564291886503,6.171833277442403,1.543984678299374,-0.27619675231365903,2.4981504049398655,1.1555466247217652,41.15139950012829
PHI_+120,PHI,120,25.91194918747669,31.997204318719483,-6.085255131242793,4.868772662052799,33.959611647812324,77.57420514692342,-3.616496234834427,-48.27546031898363,12.92211074131411,13.206349558671857,90.63909320295646,1.2118620835068081,21.046906021015488,5.339644438013266,1.4702459068964364,-0.36875369141668557,2.146902170944765,1.1503973897593873,31.997204318719483
PHI_+135,PHI,135,18.085910819557824,23.431920257918193,-5.346009438360369,4.726803308805797,26.62176827028585,76.86898062340306,-3.472959410594088,-47.978157310397734,12.580052445383874,12.7273212152684,82.07380914215517,1.0698927302598062,13.70906264348901,4.634419914492909,1.6137827311367756,-0.07145068283078615,1.8048438750145284,0.671369046355931,23.431920257918193
PHI_+150,PHI,150,13.569233322541978,17.13255021345053,-3.563316890908551,4.5296866811704435,20.950714349362404,76.61586651741729,-2.9505436219368093,-47.611909458012285,12.100601906905911,12.140022722780554,75.7744390976875,0.8727761026244525,8.038008722565566,4.381305808507136,2.1361985197940543,0.29479716955466273,1.3253933365365658,0.08407055386808437,17.13255021345053
PHI_+165,PHI,165,12.21349737743903,14.536079936683919,-2.322582559244889,4.5968999700275734,17.909422234695224,76.98517021579103,-2.1551888705197375,-47.30718759598888,11.576907020637796,11.571945846277892,73.1779688209209,0.9399893914815824,4.996716607898387,4.750609506880878,2.931553271211126,0.599519031578069,0.8016984502684501,-0.48400632263457766,14.536079936683919
PSI_-105,PSI,-105,32.011747071349355,38.48079897715198,-6.469051905802623,8.931701674280173,34.3139542352834,76.99480807320361,-3.12840971434188,-49.12011665756093,15.383218499323128,13.831184466037193,97.2063405762247,5.1325103387484035,21.438697631954938,5.055336358065972,2.2289365671101113,-1.1387528722601488,4.25730763382251,1.5067633197101848,38.48079897715198
PSI_-090,PSI,-90,14.696882575166297,17.160477408206447,-2.4635948330401494,5.757360809189488,22.848585599964522,74.14319691733992,-4.690438778030173,-48.55361053292454,13.237542209766827,13.143382781973123,75.88601900727917,1.9581694736577187,9.973328996636065,2.2037252022022784,0.6669075034218181,-0.5722467476237583,2.1116313442662094,0.8189616356461151,17.160477408206447
PSI_-075,PSI,-75,4.330868332829533,4.8679751355402345,-0.5371068027107011,4.308324907753837,15.801370597874483,72.48770706351986,-5.443683028642182,-48.17360494907322,11.93853316623457,12.674868976945621,63.59351673461296,0.5091335722220678,2.926113994546025,0.5482353483822209,-0.0863367471901908,-0.1922411637724437,0.8126223007339526,0.35044783061861295,4.8679751355402345
PSI_-060,PSI,-60,0.0,0.0,0.0,3.7991913355317695,12.875256603328458,71.93947171513764,-5.357346281451991,-47.98136378530078,11.125910865500618,12.324421146327008,58.72554159907273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSI_-045,PSI,-45,0.19638589416353,0.21180103998668187,-0.015415145823151871,3.6898070068930386,12.776739373972088,72.43749990632593,-4.832996958130486,-47.91756339301271,10.771036398205059,12.0128203048065,58.93734263905941,-0.10938432863873082,-0.09851722935636964,0.4980281911882827,0.5243493233215055,0.06380039228806567,-0.35487446729555927,-0.3116008415205087,0.21180103998668187
PSI_-030,PSI,-30,3.0779934750218234,2.9812882543343946,0.09670522068742882,3.6956077690759925,13.841878763549095,73.8232757212543,-4.301104754002899,-47.9732373690485,10.818104702345003,11.802305020234122,61.70682985340712,-0.10358356645577693,0.9666221602206377,1.8838040061166623,1.0562415274490924,0.008126416252281388,-0.3078061631556146,-0.5221161260928859,2.9812882543343946
PSI_-015,PSI,-15,6.97513939178259,6.526904524008728,0.4482348677738619,3.7396782167580285,14.970677889527204,75.70798392649384,-3.898041395809299,-48.09708056949303,11.108527990379438,11.720700065225284,65.25244612308146,-0.05951311877374099,2.0954212861987465,3.768512211356196,1.459304885642692,-0.11571678419225151,-0.01738287512118042,-0.6037210811017246,6.526904524008728
