enzyme,state,seed,mode,vina_score,family,protein_pairs_lt_1p8,protein_pairs_1p8_2p2,sam_min_distance_a,sam_pairs_lt_2,sam_pairs_2_2p5,strain_kcal_mol,burial_reduction_percent,physical_pass
7B,neutral,172904,4,-7.279,8,0,0,6.9220829235137025,0,0,23.374673572135457,61.10149465308223,False
7B,neutral,172904,5,-7.267,2,0,0,3.498603721486617,0,0,36.299914039582355,63.32281402199092,False
7B,neutral,172904,6,-7.185,1,0,0,3.306378986141789,0,0,28.021100141538888,63.14397635946968,False
7B,neutral,172904,7,-7.122,5,0,0,3.7401073514004923,0,0,14.917808453843612,61.2177133321566,True
7B,neutral,172904,8,-7.107,3,0,0,3.7790555698481074,0,0,36.77340331732932,63.78867335779084,False
7B,neutral,172904,9,-7.055,14,0,0,3.3167550406986646,0,0,19.28726206301807,63.74771893440308,False
7B,neutral,172904,10,-6.977,3,0,0,3.300035302841471,0,0,31.66482076622659,62.167793142786884,False
7B,neutral,172904,11,-6.928,1,0,0,3.4775996031745797,0,0,35.07305456419525,59.77063021526703,False
7B,neutral,172904,12,-6.902,9,0,0,6.931193115185869,0,0,23.49390331644603,58.16432777222741,False
7B,neutral,172904,13,-6.878,10,0,0,3.228624784641288,0,0,23.063062561030286,60.05140351870845,False
7B,neutral,172904,14,-6.867,7,0,0,11.48707660808441,0,0,32.160778064849076,53.05318562237263,False
7B,neutral,172904,15,-6.813,11,0,0,3.557144079173629,0,0,15.253332393309684,56.76939214522872,False
7B,neutral,172904,16,-6.662,11,0,0,3.591234328194139,0,0,29.149027821383832,57.149657037297324,False
7B,neutral,172904,17,-6.636,6,0,0,7.25615442228182,0,0,27.11837677735877,50.258419365967306,False
7B,neutral,172904,18,-6.556,15,0,0,3.458617353799059,0,0,38.000125882287826,56.12821078274239,False
7B,neutral,172904,19,-6.537,16,0,0,8.12132218299459,0,0,29.16855992407239,56.15514101320557,False
7B,neutral,172904,20,-6.432,12,0,0,3.4825812266191303,0,0,37.75159202656892,54.92352735414987,False
7B,neutral,483271,1,-7.555,1,0,0,3.2500646147422985,0,0,27.03991282827611,62.510380326460435,False
7B,neutral,483271,2,-7.432,4,0,0,3.477296794925622,0,0,35.179502331233856,61.98405057823332,False
7B,neutral,483271,3,-7.375,2,0,0,3.199452140601575,0,0,40.3101618618035,63.296895974906526,False
7B,neutral,483271,4,-7.367,2,0,0,3.504467006550355,0,0,37.37427890321563,63.33301682517346,False
7B,neutral,483271,5,-7.304,5,0,0,3.683433452636276,0,0,14.036992357500601,60.806012025088165,True
7B,neutral,483271,6,-7.298,6,0,0,7.974801188744457,0,0,32.12388161691877,53.22954590126111,False
7B,neutral,483271,7,-7.278,4,0,0,3.6168549874165543,0,0,34.33943955251255,59.21941571824499,False
7B,neutral,483271,8,-7.273,3,0,0,3.7188275033940474,0,0,28.409123844774804,63.91170232365381,False
7B,neutral,483271,9,-7.245,8,0,0,7.1718606372405205,0,0,25.442576445379707,61.600599531530406,False
