evaluation_id,purpose,LOCAL_TYPE_1,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_2,LOCAL_TYPE_30,LOCAL_TYPE_7,PHI_N1_PHASE0,PHI_N2_PHASE180,PSI_N1_PHASE0,equal_surface_profile_mse,regularization,objective
EVAL_00053,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.007492597921663317,6.765272928455086,0.0076771971915068635,6.7729501256465925
EVAL_00054,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.007492597921663317,6.766049156065044,0.007607264061224266,6.773656420126269
EVAL_00055,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.007492597921663317,6.770191867781097,0.007677357191506864,6.777869224972604
EVAL_00056,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.009492597921663317,6.765273196709466,0.007677536895423731,6.7729507336048895
EVAL_00057,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.007615896059609944,6.765277853841565,0.007677215819998615,6.772955069661563
EVAL_00058,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.007615896059609944,6.766059468416544,0.007607282689716018,6.77366675110626
EVAL_00059,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.007615896059609944,6.770203433058119,0.007677375819998615,6.777880808878117
EVAL_00060,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.009615896059609944,6.765272693755359,0.0076775604558409994,6.7729502542112
EVAL_00061,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.007617209889809429,6.7651949940770875,0.007677216020135761,6.772872210097224
EVAL_00062,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.007617209889809429,6.766059343405453,0.007607282889853163,6.773666626295306
EVAL_00063,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.007617209889809429,6.770194815888701,0.007677376020135762,6.777872191908837
EVAL_00064,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.009617209889809429,6.765274503790789,0.007677560708531353,6.772952064499321
EVAL_00065,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.007617209751222738,6.765185676993063,0.0076772160201146475,6.772862893013178
EVAL_00066,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.007617209751222738,6.766052621906488,0.00760728288983205,6.77365990479632
EVAL_00067,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.007617209751222738,6.7701922176616085,0.007677376020114648,6.777869593681723
EVAL_00068,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.009617209751222738,6.765277947211871,0.0076775607085046976,6.772955507920376
EVAL_00069,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.007616552905416341,6.7651864358045275,0.007677215920052318,6.77286365172458
EVAL_00070,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.007616552905416341,6.76605770142251,0.007607282789769719,6.77366498421228
EVAL_00071,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.007616552905416341,6.770195036876451,0.0076773759200523175,6.777872412796504
EVAL_00072,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.009616552905416341,6.765277830701606,0.007677560582168534,6.772955391283775
EVAL_00073,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.007617205503569274,6.765186632151624,0.007677216019467544,6.772863848171092
EVAL_00074,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.007617205503569274,6.766051321394304,0.007607282889184945,6.773658604283489
EVAL_00075,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.007617205503569274,6.7701886005179235,0.0076773760194675435,6.777865976537391
EVAL_00076,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.009617205503569273,6.765266750282147,0.007677560707687686,6.772944310989835
