evaluation_id,purpose,LOCAL_TYPE_1,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_2,LOCAL_TYPE_30,LOCAL_TYPE_7,PHI_N2_PHASE180,equal_surface_profile_mse,regularization,objective
EVAL_00026,optimization,0.20781883456285855,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002242767228120367,10.881586473480167,4.631761717656324e-07,10.881586936656339
EVAL_00027,optimization,0.20581883456285854,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002242767228120367,10.895900724096387,2.6913267267532357e-07,10.895900993229061
EVAL_00028,optimization,0.20581883456285854,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.004242767228120367,10.881629438924497,2.3884336180013824e-07,10.881629677767858
EVAL_00029,optimization,0.20588127484353141,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023133110103326863,10.881503124903498,1.1856071940427343e-07,10.881503243464216
EVAL_00030,optimization,0.20788127484353142,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023133110103326863,10.881583708481351,4.825946634022416e-07,10.881584191076014
EVAL_00031,optimization,0.20588127484353141,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023133110103326863,10.895945271967703,2.785607194042734e-07,10.895945550528422
EVAL_00032,optimization,0.20588127484353141,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.004313311010332686,10.881544380740776,2.510931598175809e-07,10.881544631833936
EVAL_00033,optimization,0.20588122613958343,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002313255985584848,10.881511224647726,1.1855320511303544e-07,10.88151134320093
EVAL_00034,optimization,0.20788122613958343,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002313255985584848,10.88158837788295,4.825793564793259e-07,10.881588860462307
EVAL_00035,optimization,0.20588122613958343,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002313255985584848,10.895852219867395,2.7855320511303543e-07,10.8958524984206
EVAL_00036,optimization,0.20588122613958343,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.004313255985584848,10.881544086466496,2.510834445364294e-07,10.88154433754994
EVAL_00037,optimization,0.20511370210253943,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0012531553477563336,10.881666928792304,2.6011894038707444e-08,10.8816669548042
EVAL_00038,optimization,0.20711370210253943,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0012531553477563336,10.881654867827743,2.6723419947795806e-07,10.881655135061942
EVAL_00039,optimization,0.20511370210253943,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0012531553477563336,10.895753998224706,1.8601189403870744e-07,10.8957541842366
EVAL_00040,optimization,0.20511370210253943,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.003253155347756334,10.881701987358467,1.161381079489608e-07,10.881702103496574
EVAL_00041,optimization,0.20584646522474387,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0022652326817275796,10.881540919435727,1.1285672859993734e-07,10.881541032292455
EVAL_00042,optimization,0.20784646522474387,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0022652326817275796,10.881585074071369,4.7132113359189815e-07,10.881585545392502
EVAL_00043,optimization,0.20584646522474387,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0022652326817275796,10.89593758215839,2.7285672859993735e-07,10.89593785501512
EVAL_00044,optimization,0.20584646522474387,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.00426523268172758,10.881639409476373,2.434660358690405e-07,10.88163965294241
EVAL_00045,optimization,0.205880926488919,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023128298701159764,10.881513232777317,1.1850292795131382e-07,10.881513351280246
EVAL_00046,optimization,0.207880926488919,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023128298701159764,10.881583252538215,4.82481135211297e-07,10.881583735019351
EVAL_00047,optimization,0.205880926488919,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023128298701159764,10.895947519419707,2.785029279513138e-07,10.895947797922634
EVAL_00048,optimization,0.205880926488919,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0043128298701159765,10.881648228426746,2.5101612275595287e-07,10.88164847944287
EVAL_00049,optimization,0.20588127470572137,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002313310819992295,10.881513106451356,1.18560696538981e-07,10.881513225012053
EVAL_00050,optimization,0.20788127470572138,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002313310819992295,10.88158703610487,4.825946184873426e-07,10.881587518699488
EVAL_00051,optimization,0.20588127470572137,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002313310819992295,10.895938633876426,2.78560696538981e-07,10.895938912437122
EVAL_00052,optimization,0.20588127470572137,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.004313310819992295,10.881544203240468,2.510931293386728e-07,10.881544454333596
EVAL_00053,optimization,0.20588127477462637,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023133109151624604,10.881511214433985,1.1856070797162271e-07,10.881511332994693
EVAL_00054,optimization,0.20788127477462637,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023133109151624604,10.881570622569065,4.825946409447832e-07,10.881571105163706
EVAL_00055,optimization,0.20588127477462637,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023133109151624604,10.895841563439648,2.7856070797162265e-07,10.895841842000356
EVAL_00056,optimization,0.20588127477462637,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0043133109151624605,10.881635771050467,2.5109314457812114e-07,10.881636022143612
