axis,angle_degrees,source_candidate_state_identity,source_archive_member,qm_absolute_energy_hartree,qm_relative_energy_kcal_mol,mm_frozen_absolute_energy_kcal_mol,mm_frozen_relative_energy_kcal_mol,frozen_geometry_residual_kcal_mol,mm_relaxed_absolute_energy_kcal_mol,mm_relaxed_relative_energy_kcal_mol,relaxed_profile_residual_kcal_mol,target_angle_after_minimization_degrees,minimization_convergence_status,run_directory
PHI,-90,457c6e61ae526c218c97,results/PHI/candidates/457c6e61ae526c218c97/final.xyz,-1477.9406993692571,1.8840517384563273,71.27829914350389,2.4755961537353954,-0.5915444153121001,55.13004359811531,2.3430497359494353,-0.458997997493108,-89.97592615775291,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/-090
PHI,-75,6c904431996435df4e8a,results/PHI/candidates/6c904431996435df4e8a/final.xyz,-1477.9437017968164,0.0,68.80270298976849,0.0,0.0,52.78699386216587,0.0,0.0,-74.28133811511611,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/-075
PHI,-60,a14624dc51ac1cb2f4db,results/PHI/candidates/a14624dc51ac1cb2f4db/final.xyz,-1477.9418405357717,1.1679589391511374,69.59553052938547,0.7928275396169795,0.37513139948177354,53.39151970521931,0.6045258430534375,0.5634330960976999,-60.06078488012163,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/-060
PHI,-45,95184b2140b31fed261f,results/PHI/candidates/95184b2140b31fed261f/final.xyz,-1477.9351785861832,5.348395421266241,74.79656195108528,5.993858961316789,-0.6454635400306756,58.06760341939142,5.280609557225546,0.06778586404069475,-45.13588633144561,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/-045
PHI,-30,bdc0c207f6bdb0881c94,results/PHI/candidates/bdc0c207f6bdb0881c94/final.xyz,-1477.9235923578171,12.61886348886727,86.12602166069311,17.32331867092462,-4.704455182027871,67.74085580244707,14.9538619402812,-2.334998451413931,-30.208396523516143,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/-030
PHI,-15,b1ee3267f365b429d213,results/PHI/candidates/b1ee3267f365b429d213/final.xyz,-1477.9052638851444,24.120153734931876,103.62222436401024,34.819521374241745,-10.69936763931561,82.46501766420006,29.67802380203419,-5.557870067102314,-15.248407817690554,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/-015
PHI,0,bef577364be0ac4447a7,results/PHI/candidates/bef577364be0ac4447a7/final.xyz,-1477.8805530057086,39.62646469177788,126.662048480627,57.859345490858516,-18.23288079903051,101.65016409740882,48.86317023524295,-9.236705543465064,-0.24875885312962126,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/+000
PHI,105,0f99b394d6ec79ee1869,results/PHI/candidates/0f99b394d6ec79ee1869/final.xyz,-1477.8855907149164,36.46525443667219,122.53503647420686,53.73233348443837,-17.26707904772566,94.42849120252112,41.641497340355244,-5.176242903683054,104.98064734113106,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/+105
PHI,120,e9595dc56ca6cdc07e3c,results/PHI/candidates/e9595dc56ca6cdc07e3c/final.xyz,-1477.902408477335,25.91194918747669,107.54981687284382,38.74711388307533,-12.835164695558163,85.5689162549684,32.78192239280253,-6.869973205325838,120.00731953538218,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/+120
PHI,135,83b6c0db10abc2e9e083,results/PHI/candidates/83b6c0db10abc2e9e083/final.xyz,-1477.9148800633304,18.085910819557824,95.63794420239108,26.83524121262259,-8.749330393035294,76.94231929604189,24.155325433876015,-6.069414614318191,135.06012030153303,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/+135
PHI,150,d015dd2ae5762e079aa2,results/PHI/candidates/d015dd2ae5762e079aa2/final.xyz,-1477.9220778470838,13.569233322541978,87.63138932616246,18.82868633639397,-5.259453013877888,70.1386843111719,17.35169044900603,-3.7824571264640507,150.08225183539426,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/+150
PHI,165,a41eb9dd4b8c73f9a42e,results/PHI/candidates/a41eb9dd4b8c73f9a42e/final.xyz,-1477.9242383498352,12.21349737743903,83.89032360839215,15.08762061862366,-2.8741232411572497,66.8927482046475,14.105754342481632,-1.892256965042602,165.03180019571423,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/+165
PSI,-105,6d0fdeef6419e8f0a525,results/PSI/candidates/6d0fdeef6419e8f0a525/final.xyz,-1477.8921979615557,32.011747071349355,119.97104235901448,51.37922308111841,-19.367476009831748,92.94725264815378,40.11349259916366,-8.101745527814309,-104.29484123369367,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/-105
PSI,-90,739d1637fad647effcb0,results/PSI/candidates/739d1637fad647effcb0/final.xyz,-1477.919790954512,14.696882575166297,93.60048435921121,25.008665081315144,-10.31178250614687,71.61249056300605,18.778730514015933,-4.081847938849636,-89.56222351038726,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/-090
PSI,-75,3b471d0c6b08831843a7,results/PSI/candidates/3b471d0c6b08831843a7/final.xyz,-1477.936310249713,4.330868332829533,77.24368757453155,8.651868296635485,-4.320999963872282,58.90901927578632,6.075259226796206,-1.7443908939666724,-74.78350984323282,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/-075
PSI,-60,6a869045b88f0718c753,results/PSI/candidates/6a869045b88f0718c753/final.xyz,-1477.943211927715,0.0,69.73688585674867,1.1450665788526067,-1.1450665788526067,53.36682655787971,0.533066508889597,-0.533066508889597,-59.93002309396472,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/-060
PSI,-45,9ce617b456dca05e750d,results/PSI/candidates/9ce617b456dca05e750d/final.xyz,-1477.9428989668718,0.19638589416353,68.59181927789606,0.0,0.19638589408714324,52.833760048990115,0.0,0.19638589416353,-45.748369182564424,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/-045
PSI,-30,344ccafc6333119c936d,results/PSI/candidates/344ccafc6333119c936d/final.xyz,-1477.9383068328877,3.0779934750218234,70.98875345832226,2.3969341804262,0.6810592945909377,55.23221988965874,2.3984598406686217,0.6795336343532017,-30.01950152707046,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/-030
PSI,-15,4e33d77d5341624a8965,results/PSI/candidates/4e33d77d5341624a8965/final.xyz,-1477.9320963355515,6.97513939178259,74.72455070952353,6.132731431627462,0.8424079600974892,58.77253475590996,5.938774706919844,1.036364684862746,-15.007755118243232,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/-015
PSI,0,7eb3ae2d64c8782dd1a9,results/PSI/candidates/7eb3ae2d64c8782dd1a9/final.xyz,-1477.926618197433,10.412722960962697,79.55827674593175,10.966457468035685,-0.5537345071062987,62.677049306022795,9.84328925703268,0.5694337039300166,0.009417157363918741,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/+000
PSI,15,6883845786126318243c,results/PSI/candidates/6883845786126318243c/final.xyz,-1477.9241755948333,11.945479233545104,83.02798626922112,14.436166991325052,-2.490687757808672,65.47073627014944,12.63697622115933,-0.6914969876142258,14.270831141836817,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/+015
PSI,30,944077ca9a56f012032f,results/PSI/candidates/944077ca9a56f012032f/final.xyz,-1477.9245718048671,11.696853683615846,83.9201763741394,15.328357096243337,-3.631503412680388,65.72313182975986,12.88937178076975,-1.1925180971539042,29.424657646291745,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/+030
PSI,45,044377f6cf75577fea47,results/PSI/candidates/044377f6cf75577fea47/final.xyz,-1477.9234356803127,12.409782605194598,87.31255474905448,18.72073547115842,-6.310952866029126,67.25296079388488,14.419200744894766,-2.009418139700168,44.943156574777525,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/+045
PSI,60,41b6e49a4c00a2e28ca7,results/PSI/candidates/41b6e49a4c00a2e28ca7/final.xyz,-1477.9182187941753,15.683428081132595,94.15574362774596,25.5639243498499,-9.88049626874816,72.4567371993284,19.622977150338286,-3.9395490692056914,59.854271299136244,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/+060
PSI,75,a31c67362a92bb69e2f9,results/PSI/candidates/a31c67362a92bb69e2f9/final.xyz,-1477.9062288461485,23.207234060776265,106.62062985557029,38.02881057767422,-14.821576516933192,82.89614923422292,30.062389185232803,-6.855155124456537,74.72362558025284,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/+075
PSI,90,aed568273c9392fba47d,results/PSI/candidates/aed568273c9392fba47d/final.xyz,-1477.8845996114715,36.77978373595889,128.03701302208944,59.445193744193375,-22.6654100082103,99.76470401266516,46.93094396367505,-10.151160227716161,89.54308663257802,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PSI/+090
