axis,angle_degrees,qm_energy_hartree,candidate_id,archive_member,qm_energy_kcal_mol_absolute,mm_bond_kcal_mol_absolute,mm_angle_kcal_mol_absolute,mm_dihedral_kcal_mol_absolute,mm_imp_kcal_mol_absolute,mm_elec_kcal_mol_absolute,mm_vdw_kcal_mol_absolute,mm_elec_14_kcal_mol_absolute,mm_vdw_14_kcal_mol_absolute,mm_tot_kcal_mol_absolute,qm_relative_kcal_mol,mm_relative_kcal_mol,qm_minus_mm_relative_kcal_mol,mm_bond_relative_to_component_min_kcal_mol,mm_angle_relative_to_component_min_kcal_mol,mm_dihedral_relative_to_component_min_kcal_mol,mm_imp_relative_to_component_min_kcal_mol,mm_elec_relative_to_component_min_kcal_mol,mm_vdw_relative_to_component_min_kcal_mol,mm_elec_14_relative_to_component_min_kcal_mol,mm_vdw_14_relative_to_component_min_kcal_mol
CHI,-30,-1477.9408001543177,d91d2228afc45675bb8f,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/d91d2228afc45675bb8f/final.xyz,-927421.8541079749,2.7303257215839727,12.86916592934558,74.05244002603759,0.0,-48.862914508698694,0.10141914136038561,14.434115255601295,13.948900004844488,69.27345157007463,1.8731815880164504,0.626736311065585,1.2464452769508654,0.009655995403402784,0.22177386050621628,0.5845733563729567,0.0,0.7208525723952874,1.056713097286491,0.32721292027676085,0.5610740060822135
CHI,-15,-1477.9407844319912,78ce1b628974546ce51d,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/78ce1b628974546ce51d/final.xyz,-927421.8442420661,2.7225240837557383,12.893947737539627,74.47056245832482,0.0,-48.82980892324146,-0.027161986371867956,14.249658357812635,13.888031803170666,69.36775353099016,1.883047496783547,0.721038271981115,1.162009224802432,0.001854357575168386,0.24655566870026213,1.0026957886601906,0.0,0.753958157852523,0.9281319695542376,0.1427560224881006,0.5002058044083917
CHI,0,-1477.9413349083907,6d139c9f39a07b6a37ba,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/6d139c9f39a07b6a37ba/final.xyz,-927422.189671222,2.7261908121107936,12.947506727036348,74.65593974761255,0.0,-48.83942131615294,-0.2100866468740347,14.1431220996005,13.804943981430478,69.2281954047637,1.5376183409243822,0.5814801457546537,0.9561381951697285,0.0055210859302237125,0.3001146581969838,1.1880730779479194,0.0,0.7443457649410448,0.7452073090520709,0.03621976427596607,0.4171179826682039
CHI,15,-1477.9424306894537,a931964e5b4679e1db1a,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/a931964e5b4679e1db1a/final.xyz,-927422.8772842204,2.7434699332257546,13.055340707845968,74.51780340336835,0.0,-48.834730267543144,-0.38367361848486214,14.106902335324534,13.71699871779194,68.92211121152853,0.8500053425086662,0.2753959525194887,0.5746093899891775,0.022800207045184706,0.4079486390066034,1.049936733703717,0.0,0.7490368135508376,0.5716203374412434,0.0,0.32917271902966583
CHI,30,-1477.9434698591697,d6d25499326fe479409f,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/d6d25499326fe479409f/final.xyz,-927423.5293730623,2.7681683590742594,13.278707069733656,74.17659241498731,0.0,-48.80913754817956,-0.5853373577038992,14.189407448004804,13.628314873092464,68.64671525900904,0.19791650061961263,0.0,0.19791650061961263,0.047498632893689496,0.6313150008942916,0.7087257453226812,0.0,0.7746295329144246,0.3699565982222064,0.08250511268026983,0.24048887433018962
CHI,45,-1477.9437852591896,3b720e68df21b2650818,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/3b720e68df21b2650818/final.xyz,-927423.7272895629,2.789016364751628,13.626051452475789,73.83442148808572,0.0,-48.80172553316002,-0.7433614776937165,14.415194997383367,13.545583195398272,68.66518048724106,0.0,0.01846522823201724,-0.01846522823201724,0.06834663857105827,0.9786593836364244,0.3665548184210934,0.0,0.7820415479339644,0.21193247823238903,0.30829266205883243,0.1577571966359983
CHI,60,-1477.9432654507455,3f92bc1cc9bd4228f7e4,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/3f92bc1cc9bd4228f7e4/final.xyz,-927423.4011048396,2.799763965581944,13.95983565141762,73.6714915329101,0.0,-48.82977514890441,-0.8048854922230683,14.741593138669938,13.482413483968838,69.02043713142096,0.32618472329340875,0.37372187241192023,-0.04753714911851148,0.07909423940137428,1.3124435825782559,0.2036248632454658,0.0,0.753991932189571,0.1504084637030373,0.6346908033454035,0.09458748520656357
CHI,75,-1477.9421266364168,ddbefa49f13f20e384df,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/ddbefa49f13f20e384df/final.xyz,-927422.6864880592,2.7974556406852478,14.137634263915198,73.81841663872467,0.0,-48.88650920618809,-0.834454892816899,15.096300372122638,13.433208563120598,69.56205137956337,1.0408015036955476,0.9153361205543291,0.12546538314121847,0.07678591450467787,1.490242195075833,0.3505499690600402,0.0,0.697257874905894,0.12083906310920656,0.9893980367981037,0.04538256435832366
CHI,90,-1477.940562423563,67dd42706d6c90c3b568,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/67dd42706d6c90c3b568/final.xyz,-927421.7049296742,2.7771495970868347,14.148061686618354,74.24967357186917,0.0,-48.95895796795901,-0.8790524144711117,15.413208743639977,13.398996046766957,70.14907926355116,2.0223598887678236,1.502364004542116,0.5199958842257075,0.05647987090626483,1.500669617778989,0.7818069022045364,0.0,0.6248091131349724,0.07624154145499384,1.306306408315443,0.011170048004682798
CHI,105,-1477.9389279564416,67e5c570e20323b843f0,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/67e5c570e20323b843f0/final.xyz,-927420.6792860705,2.753242720306261,14.031354717465996,74.75127701512879,0.0,-49.05325469231585,-0.9415369049567824,15.663034941147494,13.387825998762274,70.59194379553819,3.048003492411226,1.945228536529143,1.102774955882083,0.032572994125691146,1.3839626486266319,1.283410345464162,0.0,0.5305123887781278,0.013757050969323115,1.5561326058229596,0.0
