compound_id,smiles,status,failure_category,failure_detail,our_heavy,meeko_heavy,matched_heavy,atoms_match,our_total_charge,meeko_total_charge,total_charge_delta,charge_mad,type_agreement,torsdof_ours,torsdof_meeko,torsdof_delta,rotors_ours,rotors_meeko,rotors_matched,max_coord_delta
0404902a-34be-4cfe-b594-c78ee4008346,C=C(C#N)C(=O)NCCCc1ccccc1[C@H]1[C@H](NC(=O)c2ccc(F)cc2)[C@](C)(O)CCN1S(C)(=O)=O,OK,,,38,38,38,true,-0.0003,0.0020,0.0023,0.0370,1.0000,10,11,1,10,11,5,0.0010
041a152b-424f-4904-998f-c86ad446df79,Cc1nc(C)n([C@H]2CCCN(C(=O)C3=COCC3)C2)n1,OK,,,20,20,20,true,0.0005,0.0020,0.0015,0.0443,1.0000,2,3,1,2,3,2,0.0000
041a152b-424f-4904-998f-c86ad446df79,Cc1nc(C)n([C@H]2CCCN(C(=O)C3=COCC3)C2)n1,OK,,,20,20,20,true,0.0005,0.0020,0.0015,0.0443,1.0000,2,3,1,2,3,2,0.0000
041a152b-424f-4904-998f-c86ad446df79,Cc1nc(C)n([C@H]2CCCN(C(=O)C3=COCC3)C2)n1,OK,,,20,20,20,true,0.0005,0.0020,0.0015,0.0443,1.0000,2,3,1,2,3,2,0.0000
041a152b-424f-4904-998f-c86ad446df79,Cc1nc(C)n([C@H]2CCCN(C(=O)C3=COCC3)C2)n1,OK,,,20,20,20,true,0.0005,0.0020,0.0015,0.0443,1.0000,2,3,1,2,3,2,0.0000
041f086c-972a-43b1-bad5-6e3067b76907,O=C([C@@H]1CCCN(c2ccc(F)cc2)C1)N1CCOCC1,OK,,,21,21,21,true,-0.0003,-0.0010,0.0007,0.0505,1.0000,2,2,0,2,2,2,0.0010
041f086c-972a-43b1-bad5-6e3067b76907,O=C([C@@H]1CCCN(c2ccc(F)cc2)C1)N1CCOCC1,OK,,,21,21,21,true,-0.0003,-0.0010,0.0007,0.0505,1.0000,2,2,0,2,2,2,0.0010
041f086c-972a-43b1-bad5-6e3067b76907,O=C([C@@H]1CCCN(c2ccc(F)cc2)C1)N1CCOCC1,OK,,,21,21,21,true,-0.0003,-0.0010,0.0007,0.0505,1.0000,2,2,0,2,2,2,0.0010
042765e9-81b3-48b3-adb8-38364e7f8467,O=C(C=C(C1CC1)C1CC1)N1CCC(c2nn[nH]n2)CC1,OK,,,21,21,21,true,0.0001,-0.0040,0.0041,0.0339,1.0000,4,4,0,4,4,3,0.0010
04409cd7-f480-4de7-a3b3-01d56d76a650,COc1cc(C#N)ccc1S(=O)(=O)Nc1ccc2c(c1)cc(C)c(=O)n2C,OK,,,27,27,27,true,-0.0002,0.0010,0.0012,0.0330,1.0000,5,5,0,5,5,4,0.0010
