artifact_id,minimum,role,domain,qm_energy,predicted_energy,energy_error,global_force_rms,sulfur_local_force_rms,baseline_global_force_rms,baseline_sulfur_local_force_rms,S_C,S_H,ANGLE_9_10_26,ANGLE_11_10_26,ANGLE_10_26_56,CHI_SHSC,PHI_SC,PSI_BACKBONE,partition
TSLRSH-GPU-039,MIN02,LOW_ENERGY_CONFORMER,CORE_EQUILIBRIUM,-927411.4799420353,-927411.8856026127,-0.4056605774676427,10.595527904831705,9.708916595759133,10.572777871031416,9.533729792695881,-2.4306614497022556,2.797917880092861,11.367727135099878,6.043672147247026,-5.690060957540618,18.23271901243751,-0.6657081781073583,11.245505636045054,TRAIN
TSLRSH-GPU-040,MIN02,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927415.2526265198,-927411.7572123983,3.4954141214257106,9.933782924654798,9.581380068646702,10.344966933066438,12.25442481654622,7.48176874876134,-5.473379267653702,11.454952480190798,-8.248021527777771,-12.710557071356238,-6.260025055010146,16.188915739412643,-3.496394471275571,TRAIN
TSLRSH-GPU-041,MIN04,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927322.7965683736,-927321.6321300623,1.1644383112434298,19.550809169166268,37.75793747262651,20.381053045533587,40.71528129236809,0.7977682698466297,2.293855981520659,-21.93204377494564,-9.745084273675666,12.770059944204098,1.420843191974913,16.07873030548759,-15.975802162945907,TRAIN
TSLRSH-GPU-043,MIN04,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927332.9939891673,-927335.4167662702,-2.4227771029109135,13.985016536561817,26.528216105648035,15.843388153522596,33.041974431544986,10.543540463342145,7.69993651837025,-37.83016360451524,-53.46889767090807,5.338428133097569,63.58740382050427,-46.94317206372352,-17.65054773774372,TRAIN
TSLRSH-GPU-045,MIN04,LOW_ENERGY_CONFORMER,CORE_EQUILIBRIUM,-927399.9555201621,-927401.3752088983,-1.4196887362049893,10.566463058730111,8.613891457183856,10.616072848298193,9.030789227869693,-11.591835685420426,3.8294135050979192,2.057879390727941,5.247929435743731,-1.0353713175084385,-13.873042292559461,-3.405656569441533,16.10098517874363,TRAIN
TSLRSH-GPU-046,MIN04,EQUILIBRIUM_MINIMUM,CORE_EQUILIBRIUM,-927408.4437214141,-927411.067107163,-2.6233857489423826,10.406617741865189,12.070233214820092,10.159378648840377,10.492735667909457,-25.433371634343022,-1.7284121541054864,4.976731790239978,-2.320697574395545,21.83432250828022,-16.813649308693616,-7.378811090310765,38.028556367061604,TRAIN
TSLRSH-GPU-047,MIN04,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927336.5901252235,-927328.0785114524,8.511613771086559,27.100708044607106,64.48590175608173,27.452753328814346,65.51998585920853,-16.628983244624294,-0.23179572864145762,-16.000837111569993,-12.796945542740236,20.289284291346142,4.311490950289133,7.808443570716482,22.58385651145243,TRAIN
TSLRSH-GPU-049,MIN04,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927335.9717238874,-927340.7562287179,-4.784504830488004,20.17394626983152,44.544538748033254,20.602815341477516,45.89805197994618,-2.402664546162871,-6.532548264142803,-21.08592364680835,-7.696365959781413,20.347403010942664,-12.42172255400949,20.991052527244115,-8.94548126774581,TRAIN
TSLRSH-GPU-050,MIN04,LOW_ENERGY_CONFORMER,CORE_EQUILIBRIUM,-927401.6057602691,-927398.3030112638,3.30274900526274,10.009315320613586,11.44579354336453,9.58172587256127,8.50692261651689,-23.72356301544132,1.0439610223263163,9.663422409218391,6.662684454861104,15.658531210458548,32.85562148638383,4.637656062621979,-6.001864998266479,TRAIN
TSLRSH-GPU-051,MIN04,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927314.6066545151,-927312.481320299,2.1253342161653563,22.483755542938116,48.82055124731422,23.472383274197977,51.975771440983664,-5.588676715650305,-6.38573016110985,-24.10945278568976,-7.068545917905676,8.425658858530138,8.701172666311411,18.13995014114557,8.468379078954301,TRAIN
