condition,enantiomer,family,population,status,representative_source,representative_model,representative_source_sha256,superpocket_atom_fraction,sam_compatibility,sam_min_distance_A,engine_score_min,engine_score_mean,engine_score_max,scientific_score_interpretation
7B_WT_SAM_BOUND,S,8,2,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s42.pdbqt,1,70da40e23e8cf2fad242753e3305485650b3c739ab1ca91c01d7257ae74efbb5,1.0,compatible,3.8727634836121867,-5.157,-5.1530000000000005,-5.149,NONE
7B_WT_SAM_BOUND,S,9,1,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s7.pdbqt,6,9982f18f5f0480b2135531ed9701d1bacf96f0ade8acf3d9122fcbcfe5601cbd,1.0,compatible,3.649063167444488,-4.486,-4.486,-4.486,NONE
7B_WT_SAM_BOUND,S,10,1,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s42.pdbqt,8,70da40e23e8cf2fad242753e3305485650b3c739ab1ca91c01d7257ae74efbb5,1.0,compatible,3.252220318490123,-4.421,-4.421,-4.421,NONE
7A_F43L_F199G_SAM_BOUND,R,1,4,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_R_s42.pdbqt,1,e74e07884dd25c01bc77bfb5dbc44792da53b5cb9a3d97157c89497b2b5bf57c,1.0,compatible,3.66132066336725,-6.285,-6.185,-5.906,NONE
7A_F43L_F199G_SAM_BOUND,R,2,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_R_s7.pdbqt,2,0719c26005e693095f5a3dc7e87d4c35edc88175fe82b7c270531ac7eb2e8878,1.0,compatible,4.711085968224311,-6.217,-6.212666666666666,-6.206,NONE
7A_F43L_F199G_SAM_BOUND,R,3,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_R_s1.pdbqt,3,62400062e4bdfb509957f994d134500179e93e3ec2b314e16fc4b73c46bde5e3,1.0,compatible,4.820449045472838,-5.983,-5.977666666666667,-5.971,NONE
7A_F43L_F199G_SAM_BOUND,R,4,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_R_s1.pdbqt,4,62400062e4bdfb509957f994d134500179e93e3ec2b314e16fc4b73c46bde5e3,1.0,compatible,3.7314657977797414,-5.981,-5.963666666666666,-5.936,NONE
7A_F43L_F199G_SAM_BOUND,R,5,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_R_s42.pdbqt,5,e74e07884dd25c01bc77bfb5dbc44792da53b5cb9a3d97157c89497b2b5bf57c,1.0,compatible,3.6139708078511097,-5.874,-5.8709999999999996,-5.866,NONE
7A_F43L_F199G_SAM_BOUND,R,6,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_R_s1.pdbqt,7,62400062e4bdfb509957f994d134500179e93e3ec2b314e16fc4b73c46bde5e3,1.0,compatible,3.7406109126718863,-5.732,-5.728999999999999,-5.725,NONE
7A_F43L_F199G_SAM_BOUND,R,7,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_R_s7.pdbqt,6,0719c26005e693095f5a3dc7e87d4c35edc88175fe82b7c270531ac7eb2e8878,1.0,compatible,3.439712051902019,-5.759,-5.729333333333333,-5.674,NONE
7A_F43L_F199G_SAM_BOUND,R,8,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_R_s42.pdbqt,9,e74e07884dd25c01bc77bfb5dbc44792da53b5cb9a3d97157c89497b2b5bf57c,1.0,compatible,3.654187050494268,-5.686,-5.675666666666667,-5.67,NONE
7A_F43L_F199G_SAM_BOUND,R,9,1,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_R_s7.pdbqt,8,0719c26005e693095f5a3dc7e87d4c35edc88175fe82b7c270531ac7eb2e8878,1.0,compatible,3.629497072598351,-5.722,-5.722,-5.722,NONE
7A_F43L_F199G_SAM_BOUND,R,10,1,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_R_s42.pdbqt,7,e74e07884dd25c01bc77bfb5dbc44792da53b5cb9a3d97157c89497b2b5bf57c,1.0,compatible,5.209033019668814,-5.731,-5.731,-5.731,NONE
7A_F43L_F199G_SAM_BOUND,S,1,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_S_s1.pdbqt,1,efb846783f9d07cb8af80472271cc95f5ccf5a59b065dcd44bc439250d23af1f,1.0,compatible,5.040463867542352,-6.182,-6.1739999999999995,-6.167,NONE
7A_F43L_F199G_SAM_BOUND,S,2,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_S_s1.pdbqt,2,efb846783f9d07cb8af80472271cc95f5ccf5a59b065dcd44bc439250d23af1f,1.0,compatible,4.769936163094848,-6.112,-6.1063333333333345,-6.102,NONE
7A_F43L_F199G_SAM_BOUND,S,3,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_S_s7.pdbqt,3,d0a2fe2ed358145d03b64c386c9bcd6e2d90d8ebc8dc2135431234e80d368963,1.0,compatible,4.6464496123384365,-6.026,-6.009,-6.0,NONE
7A_F43L_F199G_SAM_BOUND,S,4,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_S_s7.pdbqt,4,d0a2fe2ed358145d03b64c386c9bcd6e2d90d8ebc8dc2135431234e80d368963,1.0,compatible,3.5430342928060963,-5.955,-5.947666666666667,-5.934,NONE
7A_F43L_F199G_SAM_BOUND,S,5,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_S_s42.pdbqt,5,a6aaf67f55df8d5189ec3c2952c6fde9b755ed7035a15665066b61c27e65c141,1.0,compatible,3.7827500578282987,-5.888,-5.877333333333333,-5.862,NONE
7A_F43L_F199G_SAM_BOUND,S,6,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_S_s42.pdbqt,6,a6aaf67f55df8d5189ec3c2952c6fde9b755ed7035a15665066b61c27e65c141,1.0,compatible,3.815797950625792,-5.762,-5.7523333333333335,-5.746,NONE
7A_F43L_F199G_SAM_BOUND,S,7,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_S_s1.pdbqt,9,efb846783f9d07cb8af80472271cc95f5ccf5a59b065dcd44bc439250d23af1f,1.0,compatible,3.7353310428929856,-5.654,-5.638000000000001,-5.609,NONE
