condition,enantiomer,seed,model,status,family,source,source_sha256,sam_compatibility,sam_min_distance_A,engine_score,scientific_score_interpretation
7A_WT_SAM_BOUND,S,7,9,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s7.pdbqt,34111ef6c5da84c07f901e65606838d315704d3dab13d06f91832393c5d159e4,compatible,9.8315801374957,-4.788,NONE
7A_WT_SAM_BOUND,S,42,1,ACCEPTED_ON_SITE,1,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s42.pdbqt,26d4e9f9be0180508a82ee9f164bcdbe1796fec78326f39d1970561e41bcde09,compatible,3.426334922333192,-5.986,NONE
7A_WT_SAM_BOUND,S,42,2,ACCEPTED_ON_SITE,2,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s42.pdbqt,26d4e9f9be0180508a82ee9f164bcdbe1796fec78326f39d1970561e41bcde09,compatible,3.1562466633645725,-5.745,NONE
7A_WT_SAM_BOUND,S,42,3,ACCEPTED_ON_SITE,4,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s42.pdbqt,26d4e9f9be0180508a82ee9f164bcdbe1796fec78326f39d1970561e41bcde09,compatible,3.188214233705132,-5.398,NONE
7A_WT_SAM_BOUND,S,42,4,ACCEPTED_ON_SITE,3,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s42.pdbqt,26d4e9f9be0180508a82ee9f164bcdbe1796fec78326f39d1970561e41bcde09,compatible,3.444915238434757,-5.387,NONE
7A_WT_SAM_BOUND,S,42,5,ACCEPTED_ON_SITE,5,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s42.pdbqt,26d4e9f9be0180508a82ee9f164bcdbe1796fec78326f39d1970561e41bcde09,compatible,3.095406919937991,-5.102,NONE
7A_WT_SAM_BOUND,S,42,6,ACCEPTED_ON_SITE,6,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s42.pdbqt,26d4e9f9be0180508a82ee9f164bcdbe1796fec78326f39d1970561e41bcde09,compatible,3.198126170118997,-5.078,NONE
7A_WT_SAM_BOUND,S,42,7,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s42.pdbqt,26d4e9f9be0180508a82ee9f164bcdbe1796fec78326f39d1970561e41bcde09,compatible,9.964324462802281,-4.927,NONE
7A_WT_SAM_BOUND,S,42,8,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s42.pdbqt,26d4e9f9be0180508a82ee9f164bcdbe1796fec78326f39d1970561e41bcde09,compatible,9.841499530051303,-4.873,NONE
7A_WT_SAM_BOUND,S,42,9,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s42.pdbqt,26d4e9f9be0180508a82ee9f164bcdbe1796fec78326f39d1970561e41bcde09,compatible,9.87369459726196,-4.843,NONE
7B_WT_SAM_BOUND,R,1,1,ACCEPTED_ON_SITE,2,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s1.pdbqt,c6355ed6c5688dcb0e3e55b7721a325af7a7a229c754a1005f9aca2f89bfb49a,compatible,4.018032727591949,-5.033,NONE
7B_WT_SAM_BOUND,R,1,2,ACCEPTED_ON_SITE,3,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s1.pdbqt,c6355ed6c5688dcb0e3e55b7721a325af7a7a229c754a1005f9aca2f89bfb49a,compatible,3.909166279400251,-4.993,NONE
7B_WT_SAM_BOUND,R,1,3,ACCEPTED_ON_SITE,4,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s1.pdbqt,c6355ed6c5688dcb0e3e55b7721a325af7a7a229c754a1005f9aca2f89bfb49a,compatible,3.9924912022445334,-4.652,NONE
7B_WT_SAM_BOUND,R,1,4,ACCEPTED_ON_SITE,5,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s1.pdbqt,c6355ed6c5688dcb0e3e55b7721a325af7a7a229c754a1005f9aca2f89bfb49a,compatible,4.036464418274983,-4.523,NONE
7B_WT_SAM_BOUND,R,1,5,ACCEPTED_ON_SITE,1,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s1.pdbqt,c6355ed6c5688dcb0e3e55b7721a325af7a7a229c754a1005f9aca2f89bfb49a,compatible,2.8982285969191595,-4.52,NONE
7B_WT_SAM_BOUND,R,1,6,ACCEPTED_ON_SITE,1,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s1.pdbqt,c6355ed6c5688dcb0e3e55b7721a325af7a7a229c754a1005f9aca2f89bfb49a,compatible,2.9805544786163534,-4.266,NONE
7B_WT_SAM_BOUND,R,1,7,ACCEPTED_ON_SITE,6,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s1.pdbqt,c6355ed6c5688dcb0e3e55b7721a325af7a7a229c754a1005f9aca2f89bfb49a,compatible,3.560438877441937,-4.261,NONE
7B_WT_SAM_BOUND,R,1,8,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s1.pdbqt,c6355ed6c5688dcb0e3e55b7721a325af7a7a229c754a1005f9aca2f89bfb49a,compatible,12.239028842191686,-4.162,NONE
7B_WT_SAM_BOUND,R,1,9,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s1.pdbqt,c6355ed6c5688dcb0e3e55b7721a325af7a7a229c754a1005f9aca2f89bfb49a,compatible,12.501108150880064,-4.09,NONE
7B_WT_SAM_BOUND,R,7,1,ACCEPTED_ON_SITE,2,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s7.pdbqt,c9cbe527df815e8a50dab21e0f3eecbf63f6ea949a7113dbab0043b130b8e253,compatible,3.984647537737811,-5.136,NONE
7B_WT_SAM_BOUND,R,7,2,ACCEPTED_ON_SITE,3,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s7.pdbqt,c9cbe527df815e8a50dab21e0f3eecbf63f6ea949a7113dbab0043b130b8e253,compatible,3.941742761774289,-4.955,NONE
7B_WT_SAM_BOUND,R,7,3,ACCEPTED_ON_SITE,4,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s7.pdbqt,c9cbe527df815e8a50dab21e0f3eecbf63f6ea949a7113dbab0043b130b8e253,compatible,3.957069370127342,-4.639,NONE
7B_WT_SAM_BOUND,R,7,4,ACCEPTED_ON_SITE,1,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s7.pdbqt,c9cbe527df815e8a50dab21e0f3eecbf63f6ea949a7113dbab0043b130b8e253,compatible,2.9060724354358407,-4.56,NONE
7B_WT_SAM_BOUND,R,7,5,ACCEPTED_ON_SITE,5,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s7.pdbqt,c9cbe527df815e8a50dab21e0f3eecbf63f6ea949a7113dbab0043b130b8e253,compatible,4.082528750664226,-4.548,NONE
7B_WT_SAM_BOUND,R,7,6,ACCEPTED_ON_SITE,7,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s7.pdbqt,c9cbe527df815e8a50dab21e0f3eecbf63f6ea949a7113dbab0043b130b8e253,compatible,3.324600878301033,-4.488,NONE
7B_WT_SAM_BOUND,R,7,7,ACCEPTED_ON_SITE,6,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s7.pdbqt,c9cbe527df815e8a50dab21e0f3eecbf63f6ea949a7113dbab0043b130b8e253,compatible,3.9674217068519453,-4.369,NONE
7B_WT_SAM_BOUND,R,7,8,ACCEPTED_ON_SITE,8,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s7.pdbqt,c9cbe527df815e8a50dab21e0f3eecbf63f6ea949a7113dbab0043b130b8e253,compatible,3.611551744056839,-4.288,NONE
7B_WT_SAM_BOUND,R,7,9,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s7.pdbqt,c9cbe527df815e8a50dab21e0f3eecbf63f6ea949a7113dbab0043b130b8e253,compatible,12.220339316074655,-4.15,NONE
7B_WT_SAM_BOUND,R,42,1,ACCEPTED_ON_SITE,2,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s42.pdbqt,212bd04f11b67a17ed78678e7c0d3be2eefb387142fc705cccc55a4fb6fac415,compatible,4.003201718624731,-5.099,NONE
7B_WT_SAM_BOUND,R,42,2,ACCEPTED_ON_SITE,3,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s42.pdbqt,212bd04f11b67a17ed78678e7c0d3be2eefb387142fc705cccc55a4fb6fac415,compatible,3.9679220002414364,-4.932,NONE
7B_WT_SAM_BOUND,R,42,3,ACCEPTED_ON_SITE,4,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s42.pdbqt,212bd04f11b67a17ed78678e7c0d3be2eefb387142fc705cccc55a4fb6fac415,compatible,4.031878594402366,-4.666,NONE
7B_WT_SAM_BOUND,R,42,4,ACCEPTED_ON_SITE,5,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s42.pdbqt,212bd04f11b67a17ed78678e7c0d3be2eefb387142fc705cccc55a4fb6fac415,compatible,4.036786469458101,-4.528,NONE
7B_WT_SAM_BOUND,R,42,5,ACCEPTED_ON_SITE,1,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s42.pdbqt,212bd04f11b67a17ed78678e7c0d3be2eefb387142fc705cccc55a4fb6fac415,compatible,2.905695441714427,-4.522,NONE
7B_WT_SAM_BOUND,R,42,6,ACCEPTED_ON_SITE,7,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s42.pdbqt,212bd04f11b67a17ed78678e7c0d3be2eefb387142fc705cccc55a4fb6fac415,compatible,3.3329051891705532,-4.466,NONE
7B_WT_SAM_BOUND,R,42,7,ACCEPTED_ON_SITE,9,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s42.pdbqt,212bd04f11b67a17ed78678e7c0d3be2eefb387142fc705cccc55a4fb6fac415,compatible,3.2233687347245894,-4.379,NONE
7B_WT_SAM_BOUND,R,42,8,ACCEPTED_ON_SITE,6,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s42.pdbqt,212bd04f11b67a17ed78678e7c0d3be2eefb387142fc705cccc55a4fb6fac415,compatible,3.6932359794629965,-4.227,NONE
7B_WT_SAM_BOUND,R,42,9,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s42.pdbqt,212bd04f11b67a17ed78678e7c0d3be2eefb387142fc705cccc55a4fb6fac415,compatible,12.234725579268217,-4.159,NONE
7B_WT_SAM_BOUND,S,1,1,ACCEPTED_ON_SITE,1,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s1.pdbqt,829d9644a3b41e160922b4bf897204bfad532602967749e9c100d1d30c8678d4,compatible,4.039207966916287,-4.838,NONE
7B_WT_SAM_BOUND,S,1,2,ACCEPTED_ON_SITE,2,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s1.pdbqt,829d9644a3b41e160922b4bf897204bfad532602967749e9c100d1d30c8678d4,compatible,3.8310233619752307,-4.659,NONE
7B_WT_SAM_BOUND,S,1,3,ACCEPTED_ON_SITE,3,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s1.pdbqt,829d9644a3b41e160922b4bf897204bfad532602967749e9c100d1d30c8678d4,compatible,3.2282617613818116,-4.631,NONE
7B_WT_SAM_BOUND,S,1,4,ACCEPTED_ON_SITE,4,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s1.pdbqt,829d9644a3b41e160922b4bf897204bfad532602967749e9c100d1d30c8678d4,compatible,3.8166013677092345,-4.541,NONE
7B_WT_SAM_BOUND,S,1,5,ACCEPTED_ON_SITE,5,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s1.pdbqt,829d9644a3b41e160922b4bf897204bfad532602967749e9c100d1d30c8678d4,compatible,3.096095928746395,-4.504,NONE
7B_WT_SAM_BOUND,S,1,6,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s1.pdbqt,829d9644a3b41e160922b4bf897204bfad532602967749e9c100d1d30c8678d4,compatible,6.130448189162029,-4.439,NONE
7B_WT_SAM_BOUND,S,1,7,ACCEPTED_ON_SITE,6,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s1.pdbqt,829d9644a3b41e160922b4bf897204bfad532602967749e9c100d1d30c8678d4,compatible,3.26804008543347,-4.393,NONE
7B_WT_SAM_BOUND,S,1,8,ACCEPTED_ON_SITE,7,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s1.pdbqt,829d9644a3b41e160922b4bf897204bfad532602967749e9c100d1d30c8678d4,compatible,3.3302591490753386,-4.342,NONE
7B_WT_SAM_BOUND,S,7,1,ACCEPTED_ON_SITE,8,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s7.pdbqt,9982f18f5f0480b2135531ed9701d1bacf96f0ade8acf3d9122fcbcfe5601cbd,compatible,3.985934645726144,-5.149,NONE
7B_WT_SAM_BOUND,S,7,2,ACCEPTED_ON_SITE,1,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s7.pdbqt,9982f18f5f0480b2135531ed9701d1bacf96f0ade8acf3d9122fcbcfe5601cbd,compatible,3.746109448481184,-5.033,NONE
