enzyme,state,seed,mode,vina_score,family,protein_pairs_lt_1p8,protein_pairs_1p8_2p2,sam_min_distance_a,sam_pairs_lt_2,sam_pairs_2_2p5,strain_kcal_mol,burial_reduction_percent,physical_pass
7A,monocation,806519,18,-5.788,20,0,0,3.4089185968573665,0,0,32.78517718371184,51.40792684495755,False
7A,monocation,806519,19,-5.692,17,0,0,4.448353066023424,0,0,28.285570630666932,63.2039143239066,False
7A,monocation,806519,20,-5.685,21,0,0,3.8321187351124695,0,0,29.22107312511423,56.54622317718559,False
7B,neutral,172904,1,-7.347,1,0,0,3.406099381991077,0,0,31.95696302738282,61.68044215691509,False
7B,neutral,172904,2,-7.3,4,0,0,3.441192089959525,0,0,35.543844802912,62.13787780638111,False
7B,neutral,172904,3,-7.291,2,0,0,3.2070756149489217,0,0,40.921504939661894,63.102556972315604,False
7B,neutral,172904,4,-7.279,8,0,0,6.9220829235137025,0,0,23.374673572135457,61.10149465308223,False
7B,neutral,172904,5,-7.267,2,0,0,3.498603721486617,0,0,36.299914039582355,63.32281402199092,False
7B,neutral,172904,6,-7.185,1,0,0,3.306378986141789,0,0,28.021100141538888,63.14397635946968,False
7B,neutral,172904,7,-7.122,5,0,0,3.7401073514004923,0,0,14.917808453843612,61.2177133321566,True
7B,neutral,172904,8,-7.107,3,0,0,3.7790555698481074,0,0,36.77340331732932,63.78867335779084,False
7B,neutral,172904,9,-7.055,14,0,0,3.3167550406986646,0,0,19.28726206301807,63.74771893440308,False
7B,neutral,172904,10,-6.977,3,0,0,3.300035302841471,0,0,31.66482076622659,62.167793142786884,False
7B,neutral,172904,11,-6.928,1,0,0,3.4775996031745797,0,0,35.07305456419525,59.77063021526703,False
7B,neutral,172904,12,-6.902,9,0,0,6.931193115185869,0,0,23.49390331644603,58.16432777222741,False
7B,neutral,172904,13,-6.878,10,0,0,3.228624784641288,0,0,23.063062561030286,60.05140351870845,False
7B,neutral,172904,14,-6.867,7,0,0,11.48707660808441,0,0,32.160778064849076,53.05318562237263,False
7B,neutral,172904,15,-6.813,11,0,0,3.557144079173629,0,0,15.253332393309684,56.76939214522872,False
