axis,angle_degrees,target_residual_kcal_mol,PRMTOP_DIHEDRAL_TYPE_1_AMPLITUDE,PRMTOP_DIHEDRAL_TYPE_2_AMPLITUDE,PRMTOP_DIHEDRAL_TYPE_7_AMPLITUDE,PRMTOP_DIHEDRAL_TYPE_12_AMPLITUDE,PRMTOP_DIHEDRAL_TYPE_17_AMPLITUDE,PRMTOP_DIHEDRAL_TYPE_30_AMPLITUDE
PHI,-75,0.0,-1.0834917507551713,-0.28783809404452176,-0.9377651365014513,-5.224170016486792,0.3828752094386147,0.34224284427494256
PHI,-60,0.37513139948177354,-1.0537812469327903,-0.5206782471355358,-0.9954831339872502,-5.953514195194575,1.2838770670533646,0.7615435198032472
PHI,-45,-0.6454635400306756,-0.8661094459470674,-0.6408908778931748,-0.9740442270029422,-4.620553497791676,-0.4548275054187679,-0.09125009276998196
PHI,-30,-4.704455182027871,-0.29075101413571525,-0.8444221578428981,-0.8064680577904642,-1.2831055114470002,-0.35852586023105676,-0.11843347802999636
PHI,-15,-10.69936763931561,0.49166242610068234,-1.0083858883956793,-0.4704208988723325,2.429858524147872,-0.13554425521145413,-0.12087665562846416
PHI,0,-18.23288079903051,1.2758294281644929,-1.0973107257275014,-0.12453935492032409,4.876149806219689,0.08971562474233435,-0.10339227079357581
PHI,105,-17.26707904772566,-0.017362087336632692,-0.33588914195130704,-0.7487524371162274,4.563656257443369,1.097309886136569,-0.11262488575321537
PHI,120,-12.835164695558163,-0.2995692879694517,-0.23913958066205554,-0.5891136935691422,4.029651055997454,0.43509214369892596,-0.12202655574253483
PHI,135,-8.749330393035294,-0.6059933444974296,-0.08318162262133022,-0.33904694999798546,1.5453073025691966,-0.011156100020828619,-0.1073104961990161
PHI,150,-5.259453013877888,-0.9219292851407506,0.15494060506514185,0.07870782669392817,-2.043616168660537,-0.14364113807186124,-0.020074242347925306
PHI,165,-2.8741232411572497,-1.1093415030529998,0.4195180195551309,0.5541841806344482,-4.976026591772932,-0.14668921825709363,0.05061992029478814
PSI,-105,-19.367476009831748,-0.6482776706863819,-0.7919305178716374,1.8756003978207665,-3.060297798543087,-0.3293662134214635,-0.12804259548982638
PSI,-90,-10.31178250614687,-0.7134624600174682,-0.9308656900031753,0.4565015294043757,-3.1024862993359505,-0.34854689069727357,-0.1995029887174143
PSI,-75,-4.320999963872282,-0.819018681325018,-0.836088651769332,-0.9360843000661873,-3.140251938616819,-0.06218243245611771,-0.06011136863225458
PSI,-60,-1.1450665788526067,-0.8894889984746841,-0.46135610480479095,-1.583720693387661,-2.9691920015112667,0.45890085462205127,0.23183796617351998
PSI,-45,0.19638589408714324,-0.7942577338439571,0.11243906928792402,-1.258756106706647,-2.109458994395892,0.7269491183286427,0.39184922195710087
PSI,-30,0.6810592945909377,-0.36425392675514856,0.7080011785972857,-0.1119175204135332,0.0014237459395625152,0.5513575106755462,0.30038592422184124
PSI,-15,0.8424079600974892,0.6355541208857504,1.1163654794531208,1.4187554052520297,3.829324225161195,0.14761431851323376,0.07072182731753679
PSI,0,-0.5537345071062987,2.382916918493106,1.257804196955293,2.3455655933267194,9.08812111641667,-0.2712657082160263,-0.1760693979122387
PSI,15,-2.490687757808672,2.6937366508205303,1.1741948744436872,1.4723675221465813,8.635938968708697,-0.3007467045980832,-0.19825364124592199
PSI,30,-3.631503412680388,0.5705431099020492,0.7842960176862368,-0.16779299347004373,1.5197537232322968,-0.21176096686888107,-0.12539675471471673
PSI,45,-6.310952866029126,-0.14144001895664526,0.1906233618751214,-1.2809071808640888,-0.8368579906107732,-0.1627268172339072,-0.0744880921435413
PSI,60,-9.88049626874816,-0.4488154271515101,-0.4060010242776326,-1.5618688355708326,-1.9451111518242161,-0.13524424695259735,-0.04546098293801509
PSI,75,-14.821576516933192,-0.6753515740803278,-0.8674070179847808,-0.9601546369788958,-2.7706239724808563,-0.08051234784838929,-0.00995188283356424
PSI,90,-22.6654100082103,-0.7883843088102969,-1.0500751715873244,0.29241181950741924,-3.1402816321395575,0.017530526153264614,0.02248276495749385
